dataset,param_metric,top,learning_rate,per_device_train_batch_size,per_device_eval_batch_size,max_steps,lora_rank,lora_alpha,median_accuracy,model_name
PAIR_headlines_yelp_reviews,best_median,1,0.0003,2,2,200,32,16,0.6362,Llama-2-7b-hf-PAIR_headlines_yelp_reviews-COMB-headlines-comb-2-seed-18-2024-12-16
PAIR_headlines_yelp_reviews,best_median,2,5e-05,2,2,200,128,32,0.6332,Llama-2-7b-hf-PAIR_headlines_yelp_reviews-COMB-headlines-comb-3-seed-18-2024-12-16
PAIR_headlines_yelp_reviews,best_median,3,0.0003,2,2,150,32,16,0.6285,Llama-2-7b-hf-PAIR_headlines_yelp_reviews-COMB-headlines-comb-1-seed-7-2024-12-16
PAIR_one_liners_amazon,best_trained,1,0.0003,4,4,200,64,64,0.8927,Llama-2-7b-hf-PAIR_one_liners_amazon-COMB-one_liners-comb-2-seed-28-2024-12-20
PAIR_one_liners_amazon,best_trained,2,0.0003,2,2,150,64,32,0.8618,Llama-2-7b-hf-PAIR_one_liners_amazon-COMB-amazon-comb-2-seed-42-2024-12-23
PAIR_one_liners_amazon,best_trained,3,0.0003,2,2,150,32,8,0.8254,Llama-2-7b-hf-PAIR_one_liners_amazon-COMB-amazon-comb-1-seed-42-2024-12-23
PAIR_one_liners_amazon,best_median,1,0.0003,2,2,150,128,8,0.6433,Llama-2-7b-hf-PAIR_one_liners_amazon-COMB-amazon-comb-3-seed-18-2024-12-23
PAIR_one_liners_amazon,best_median,2,0.0003,2,2,150,32,8,0.6374,Llama-2-7b-hf-PAIR_one_liners_amazon-COMB-amazon-comb-1-seed-42-2024-12-23
PAIR_one_liners_amazon,best_median,3,0.0003,2,2,150,64,32,0.6253,Llama-2-7b-hf-PAIR_one_liners_amazon-COMB-amazon-comb-2-seed-42-2024-12-23
PAIR_one_liners_yelp_reviews,best_trained,1,0.0003,4,4,200,64,64,0.8266,Llama-2-7b-hf-PAIR_one_liners_yelp_reviews-COMB-one_liners-comb-2-seed-42-2024-12-18
PAIR_one_liners_yelp_reviews,best_trained,2,5e-05,1,1,200,128,16,0.6796,Llama-2-7b-hf-PAIR_one_liners_yelp_reviews-COMB-yelp_reviews-comb-2-seed-7-2024-12-19
PAIR_one_liners_yelp_reviews,best_trained,3,5e-05,1,1,150,128,32,0.6773,Llama-2-7b-hf-PAIR_one_liners_yelp_reviews-COMB-yelp_reviews-comb-1-seed-42-2024-12-19
PAIR_one_liners_yelp_reviews,best_median,1,0.0003,4,4,200,64,64,0.6439,Llama-2-7b-hf-PAIR_one_liners_yelp_reviews-COMB-one_liners-comb-2-seed-42-2024-12-18
PAIR_one_liners_yelp_reviews,best_median,2,5e-05,1,1,200,128,16,0.5895,Llama-2-7b-hf-PAIR_one_liners_yelp_reviews-COMB-yelp_reviews-comb-2-seed-7-2024-12-19
PAIR_one_liners_yelp_reviews,best_median,3,5e-05,1,1,150,128,32,0.5805,Llama-2-7b-hf-PAIR_one_liners_yelp_reviews-COMB-yelp_reviews-comb-1-seed-42-2024-12-19
PAIR_yelp_reviews_amazon,best_trained,1,0.0003,2,2,150,64,32,0.7291,Llama-2-7b-hf-PAIR_yelp_reviews_amazon-COMB-amazon-comb-2-seed-28-2024-12-19
PAIR_yelp_reviews_amazon,best_trained,2,0.0003,2,2,150,32,8,0.6894,Llama-2-7b-hf-PAIR_yelp_reviews_amazon-COMB-amazon-comb-1-seed-28-2024-12-17
PAIR_yelp_reviews_amazon,best_trained,3,0.0003,2,2,150,128,8,0.6832,Llama-2-7b-hf-PAIR_yelp_reviews_amazon-COMB-amazon-comb-3-seed-7-2024-12-19
PAIR_yelp_reviews_amazon,best_median,1,0.0003,2,2,150,128,8,0.5711,Llama-2-7b-hf-PAIR_yelp_reviews_amazon-COMB-amazon-comb-3-seed-7-2024-12-19
PAIR_yelp_reviews_amazon,best_median,2,0.0003,2,2,150,32,8,0.5689,Llama-2-7b-hf-PAIR_yelp_reviews_amazon-COMB-amazon-comb-1-seed-28-2024-12-17
PAIR_yelp_reviews_amazon,best_median,3,5e-05,1,1,150,128,32,0.5568,Llama-2-7b-hf-PAIR_yelp_reviews_amazon-COMB-yelp_reviews-comb-1-seed-7-2024-12-17
PAIR_yelp_reviews_dadjokes,best_trained,1,0.0003,4,4,200,32,8,0.7815,Llama-2-7b-hf-PAIR_yelp_reviews_dadjokes-COMB-dadjokes-comb-1-seed-18-2024-12-18
PAIR_yelp_reviews_dadjokes,best_trained,2,0.0003,4,4,150,128,8,0.7547,Llama-2-7b-hf-PAIR_yelp_reviews_dadjokes-COMB-dadjokes-comb-2-seed-28-2024-12-20
PAIR_yelp_reviews_dadjokes,best_trained,3,5e-05,4,4,200,32,64,0.7415,Llama-2-7b-hf-PAIR_yelp_reviews_dadjokes-COMB-dadjokes-comb-3-seed-7-2024-12-20
PAIR_yelp_reviews_dadjokes,best_median,1,0.0003,4,4,150,128,8,0.6506,Llama-2-7b-hf-PAIR_yelp_reviews_dadjokes-COMB-dadjokes-comb-2-seed-28-2024-12-20
PAIR_yelp_reviews_dadjokes,best_median,2,0.0003,4,4,200,32,8,0.6484,Llama-2-7b-hf-PAIR_yelp_reviews_dadjokes-COMB-dadjokes-comb-1-seed-18-2024-12-18
PAIR_yelp_reviews_dadjokes,best_median,3,5e-05,4,4,200,32,64,0.6431,Llama-2-7b-hf-PAIR_yelp_reviews_dadjokes-COMB-dadjokes-comb-3-seed-7-2024-12-20
