,sentence,label,idx
28,Christmas gingerbread (Lebkuchen) and Christmas cheer--review of the potential role of mood elevating amphetamine-like compounds formed in vivo and in furno.,1,416
29,Did the Ichthyosaurs Explode? A Forensic-medical Contribution to the Taphonomy of Ichthyosaurs,1,1038
30,The Foods From Hell: Food Colouring,1,869
31,Prevalence of osteoporosis in middle Anatolian population using calcaneal ultrasonography method.,0,2545
32,Ligamentäre Ausheilungsergebnisse nach Beckenringfrakturen Typ C,0,2534
33,"Aquatic macrophytes of Lake Bled: changes in species composition, distribution and production",0,1730
34,The Kardashian index: a measure of discrepant social media profile for scientists,1,1048
35,A functions localized neural network with branch gates,0,2696
36,Are the Very Happy Too Happy?,1,1340
37,The Perilous Whiteness of Pumpkins,1,1673
38,Visceral leishmaniasis: a new opportunistic infection in hematopoietic stem-cell-transplanted patients,0,2409
39,Legal medicine at Harvard University,1,1471
40,Is Huh? a universal word? Conversational infrastructure and the convergent evolution of linguistic items,1,996
41,"Women Like Being Valued for Sex, as Long as it is by a Committed Partner.",1,888
42,Microvascular disturbances and edema formation after repetitive ischemia of gerbil brain,0,3369
43,"Inhaled oxygen and cluster headache sufferers in the United States: use, efficacy and economics: results from the United States Cluster Headache Survey.",0,3098
44,The Cooling Power of the Pigeon Head.,1,510
45,Chickens Prefer Beautiful Humans.,1,51
46,The longevity of Baseball Hall of Famers compared to other players,1,668
47,Behavioral phenotype and BDNF differences related to apoE isoforms and sex in young transgenic mice,0,3270
48,"The Big Five personality traits of professional comedians compared to amateur comedians, comedy writers, and college students",1,1690
49,Risk of contrast-induced nephropathy for patients receiving intravenous vs. intra-arterial iodixanol administration,0,2641
50,"Copulatory vocalizations of chacma baboons (Papio ursinus), gibbons (Hylobates hoolock), and humans.",1,1555
51,"Distinct neural mechanisms underlie the success, precision, and vividness of episodic memory",0,2778
52,Intérêt diagnostique et thérapeutique de la mucosectomie par aspiration endoscopique dans le traitement du cancer gastrique épithélial,0,2251
53,The economics of Computer Hacking.,1,424
54,Alternation between foods within a meal. Influence on satiation and consumption in humans.,1,672
55,Does Television Rot Your Brain? New Evidence from the Coleman Study,1,501
56,Digital Rectal Examination & Manual Removal of Faeces,1,1410
57,Follow-up of corneal transplantations at the Academic Medical Centre of Amsterdam,0,3063
58,Controlled variables: psychology as the center fielder views it,1,1115
59,How Attention Can Create Synaptic Tags for the Learning of Working Memories in Sequential Tasks,0,2830
60,Higher Income Is Associated With Less Daily Sadness but not More Daily Happiness,1,800
61,A Population-Based Study on Bowel Habits in a Korean Community: Prevalence of Functional Constipation and Self-Reported Constipation,0,2643
62,Women doctors' purses as an unrecognized fomite.,1,1374
63,Age-related changes in rhythmically bursting activity in the medial septum of rats,0,3331
64,"Spawning Behavior and Biparental Egg Care of the Crosshatch Triggerfish, Xanthichthys mento (Balistidae)",0,1769
65,Temporal Changes in Colonic Vascular Architecture and Inflammatory Mediator Levels in Animal Models of Colitis,0,2258
66,Some in vivo electrophysiological properties of locus coeruleus neurones in fetal rats,0,2781
67,Secondary reduction of preference for the sword ornament in the pygmy swordtail Xiphophorus nigrensis (Pisces: Poeciliidae),0,1788
68,Similar Preference for Natural Mineral Water between Female College Students and Rats.,1,627
69,The effect of test TMS intensity on short-interval intracortical inhibition in different excitability states,0,3302
70,Qualitative and quantitative analysis of volatile constituents from latrines.,1,279
71,Genetic structure and diversity of India hybrid tea,0,1745
72,Vagal reflexes following an exercise stress test: a simple clinical tool for gene-specific risk stratification in the long QT syndrome.,0,2342
73,Body type and performance of elite cuban baseball players,1,1339
74,"Say ""Thank You"" - Or Something",1,1187
75,Reconfigurable Radio Access Unit for DWDM to W-Band Wireless Conversion,0,1994
76,Validation of a Functional Pyelocalyceal Renal Model for the Evaluation of Renal Calculi Passage While Riding a Roller Coaster,1,126
77,Interspecies sexual behaviour between a male Japanese macaque and female sika deer.,1,939
78,Identification of new epilepsy treatments: issues in preclinical methodology.,0,3253
79,How baseball outfielders determine where to run to catch fly balls,1,715
80,Ideal female brow aesthetics,1,1081
81,Burial of piglet carcasses in cement: a study of macroscopic and microscopic alterations on an animal model.,1,624
82,Dual-energy CT in vertebral compression fractures: performance of visual and quantitative analysis for bone marrow edema demonstration with comparison to MRI,0,2520
83,Why Henry III of Navarre's Hair Probably did Not Turn White Overnight,1,626
84,"Isolation, characterization and evolution of NBS-LRR encoding disease-resistance gene analogs in eggplant against bacterial wilt",0,1922
85,Body posture facilitates retrieval of autobiographical memories,0,3001
86,The renewal of humanism in psychotherapy: summary and conclusion.,0,3145
87,Sperm from sneaker male squids exhibit chemotactic swarming to CO2.,1,1447
88,Quantifying School Officials,1,548
89,Laparoscopic complete mesocolic excision for right-sided colon cancer using a cranial approach: anatomical and embryological consideration,0,2339
90,Colonic Gas Explosion: Is a Fire Extinguisher Necessary?,1,926
91,"Oral administration of probiotic bacteria (E. coli nissle,E. coli O83,Lactobacillus casei) influences the severity of dextran sodium sulfate-induced colitis in BALB/c mice",0,2475
92,Did Humans Invent Music?,1,1696
93,Practice parameter for the assessment and treatment of children and adolescents with schizophrenia.,0,3313
94,Etiology of liver cirrhosis in Japan: a nationwide survey,0,2583
95,Patient Preference for Waxed or Unwaxed Dental Floss,1,191
96,Long-term loss of dopamine release mediated by CRF-1 receptors in the rat lateral septum after repeated cocaine administration,0,3341
97,Developments in coffee biotechnologyin vitro plant propagation and crop improvement,0,1790
98,The Effect of Perfume on Prosocial Behavior of Pedestrians.,1,1385
99,Fault-Tolerant Techniques for Radiation Environments,0,2112
100,From Junior to Senior Pinocchio: A Cross-Sectional Lifespan Investigation of Deception,1,90
101,Aesthetic judgement of orientation in modern art.,1,1213
102,Interruptions in Political Interviews: The Debate Ends?,1,1282
103,Design of a Sinusoidally Wound 2-D Rotational Core Loss Setup With the Consideration of Sensor Sizing,0,2019
104,Bronchial artery embolization to control hemoptysis: A review,0,2436
105,Influence of Valentine's Day and Halloween on birth timing,1,579
106,An Eiffel Penetrating Head Injury,1,922
107,Some Racial Characteristics of the Weight of the Heart and Kidneys,1,1257
108,Ecological Traps for Dragonflies in a Cemetery: The Attraction of Sympetrum species (Odonata: Libellulidae) by Horizontally Polarizing Black Grave-stones,1,94
109,The role of dysfunctional attitudes in models of negative symptoms and functioning in schizophrenia,0,2976
110,This ought to be good: brain activity accompanying positive and negative expectations and outcomes.,0,3030
111,The uses of hopelessness,1,1506
112,Potentially fatal asthma and syncope. A new variant of Munchausen's syndrome in sports medicine.,0,2130
113,Vision of Integrated Happiness Accounting System in China.,1,905
114,Bystander reaction to women fighting: developing a theory of intervention.,1,1314
115,Self-generated saccades do not modify the gain of adapted reactive saccades,0,2739
116,Males of a strongly polygynous species consume more poisonous food than females.,1,1047
117,Functional Interactions during the Retrieval of Conceptual Action Knowledge: An fMRI Study,0,2979
118,Egocentrism over e-mail: can we communicate as well as we think?,1,1394
119,A Commercial-Simulator-Based Numerical-Analysis Methodology for 4H-SiC Power Devices Formed on Misoriented (0001) Substrates,0,2061
120,Decoupling of BOLD amplitude and pattern classification of orientation-selective activity in human visual cortex,0,3083
121,Hemispheric differences and similarities in comprehending more and less predictable sentences,0,3115
122,Deceptive-like behaviour in dogs (Canis familiaris),1,826
123,May I Curse a Referee? Swear Words and Consequences.,1,1156
124,Voodoo Barbie and the dental office.,1,1273
125,Heavy metal uptake and chemical changes in the rhizosphere of Thlaspi caerulescens and Thlaspi ochroleucum grown in contaminated soils,0,1728
126,A Cute Characterization of Acute Triangles.,1,408
127,"The Psychopharmacology of Pictorial Pornography Restructuring Brain, Mind & Memory & Subverting Freedom of Speech",1,1559
128,Pain Over Speed Bumps in Diagnosis of Acute Appendicitis: Diagnostic Accuracy Study,1,52
129,When the left hand does not know what the left hand is doing: response mode affects mental rotation of hands,0,3028
130,Characterization of Organic Illumination Systems,1,1700
131,Relationship between Polarity of the Flutter Wave in the Surface ECG and Endocardial Atrial Activation Sequence in Patients with Typical Counterclockwise and Clockwise Atrial Flutter,0,2321
132,Comparison of pain syndromes associated with nervous or somatic lesions and development of a new neuropathic pain diagnostic questionnaire (DN4),0,2964
133,Irrelevant events affect voters' evaluations of government performance.,1,247
134,Resistance to vincristine of human cells grown as multicellular spheroids.,0,2415
135,"Tumbling toast, Murphy's Law and the fundamental constants",1,78
136,Bottomless Bowls: Why Visual Cues of Portion Size May Influence Intake.,1,22
137,Anaplastic Thyroid Carcinoma Associated with Granulocyte Colony-Stimulating Factor: Report of a Case,0,2219
138,Blasted cell line names,1,1278
139,A Comparison of the Effects of Added Saliva Alpha-Amylase and Water on Texture Perception in Semi-Solids.,1,980
140,Shape of Glass and Amount of Alcohol Poured: Comparative Study of Effect of Practice and Concentration.,1,1612
141,An unusual clinical presentation of ocular trauma in a child,0,2477
142,Action observation training modifies brain gray matter structure in healthy adult individuals,0,2786
143,The dark side of going abroad: How broad foreign experiences increase immoral behavior.,1,1433
144,Estimation of the Total Surface Area in Indian Elephants (Elephas maximus indicus).,1,123
145,The effectiveness of psychological interventions for the rehabilitation of low back pain: a randomized controlled trial evaluation,0,2901
146,Determination of Favorite Components of Garbage by Dogs,1,1389
147,Cognitive factors and persistent pain: A glimpse into pandora's box,0,3269
148,"The unsuccessful self-treatment of a case of ""writer's block",1,1009
149,Scratch and Sniff: The Dynamic Duo.,1,784
150,Implementation of a post-market monitoring for insect-protected maize MON 810 in the EU,0,1875
151,Let's get serious: communicating commitment in romantic relationships.,1,426
152,Dose response of the 16p11.2 distal copy number variant on intracranial volume and basal ganglia,0,2735
153,Intracerebral source generators characterizing concentrative meditation,0,2939
154,Continuum model for tubulin-driven neurite elongation,0,3029
155,Ghostbursting: A Novel Neuronal Burst Mechanism,0,2795
156,A Feel for Disgust: Tactile Cues to Pathogen Presence,1,870
157,Long-lasting Lipsticks and Latent Prints,1,867
158,Are full or empty beer bottles sturdier and does their fracture-threshold suffice to break the human skull?,1,66
159,Use of Fluoxetine to Treat Dominance Aggression in Dogs,1,1183
160,An Analytical Method to Determine Small-Signal Model Parameters for Vertical-Cavity Surface Emitting Lasers,0,2067
161,The Portsmouth-based glaucoma refinement scheme: a role for virtual clinics in the future?,0,2512
162,"Clitorally Stimulated Orgasms Are Associated With Better Control of Sexual Desire, and Not Associated With Depression or Anxiety, Compared With Vaginally Stimulated Orgasms",1,1676
163,Presidential laugh lines. Candidate display behavior and audience laughter in the 2008 primary debates.,1,896
164,Transplantation of mucosa from stomach to esophagus to prevent stricture after circumferential endoscopic submucosal dissection of early squamous cell.,0,2142
165,Multiplicatively interacting point processes and applications to neural modeling,0,2784
166,Beer and Obesity: A Cross-sectional Study,1,473
167,Impotence in the 18th and 19th century: concepts of etiology and approaches to therapy.,1,754
168,OmicsAnalyzer: a Cytoscape plug-in suite for modeling omics data,0,1984
169,Mark-Release-Recapture Reveals Extensive Movement of Bed Bugs (Cimex lectularius L.) within and between Apartments,1,395
170,Co-administration of Creatine Plus Pyruvate Prevents the Effects of Phenylalanine Administration to Female Rats During Pregnancy and Lactation on Enzymes Activity of Energy Metabolism in Cerebral Cortex and Hippocampus of the Offspring,0,2679
171,Hemispheric Asymmetry for the Auditory Recognition of True and False Statements.,1,361
172,Early evidence for travel with infectious diseases along the Silk Road: Intestinal parasites from 2000 year-old personal hygiene sticks in a latrine at Xuanquanzhi Relay Station in China,1,296
173,Congenital Myasthenic Syndromes,0,2789
174,Rate of Penetration of a Porcupine Spine.,1,1197
175,Methods of human body odor sampling: the effect of freezing.,1,526
176,Domestic Cats and Passive Submission.,1,783
177,Some Observations of Odde Constitutions of Bodies,1,1563
178,Investigating Use of Space of Pedestrians,1,1010
179,The Influence of Travelling on Decision-Making.,1,1434
180,Why Is Mrs Thatcher Interrupted So Often?,1,1484
181,Attractiveness and relationship longevity: Beauty is not what it is cracked up to be,1,1474
182,"Descartes and the Gut: ""I'm Pink Therefore I Am"".",1,474
183,The CSMD1 genome-wide associated schizophrenia risk variant rs10503253 affects general cognitive ability and executive function in healthy males,0,3237
184,Sheep laterality.,1,950
185,Three-dimensional reconstruction of brain structures of the rodent Octodon degus: a brain atlas constructed by combining histological and magnetic resonance images,0,3177
186,Multiple-Input Multiple-Output OFDM with Index Modulation,0,2026
187,Hemispheric Asymmetries during Processing of Immoral Stimuli,1,1560
188,Altered release of cytochrome p450 metabolites of arachidonic acid in renovascular disease.,0,2529
189,Promotion Systems and Organizational Performance: A Contingency Model.,1,303
190,"Some Comparative Aspects of Yawning in Betta splendens, Homo sapiens, Panthera leo, and Papio sphinx.",1,251
191,Deciphering the Contribution of Oriens-Lacunosum/Moleculare (OLM) Cells to Intrinsic θ Rhythms Using Biophysical Local Field Potential (LFP) Models,0,2733
192,"Poor Efficacy and Tolerability of Stavudine, Didanosine, and Efavirenz-based Regimen in Treatment-Naive Patients in Senegal",0,2424
193,Randomised controlled trial of whether erotic material is required for semen collection: impact of informed consent on outcome.,1,1014
194,Eproctophilia in a young adult male.,1,825
195,"Robots, Love, and Sex: The Ethics of Building a Love Machine",1,680
196,Rhesus monkey brain development during late infancy and the effect of phencyclidine: A longitudinal MRI and DTI study,0,2673
197,Multiplexing signals in reinforcement learning with internal models and dopamine,0,3014
198,Low-energy distal radius fractures in middle-aged and elderly men and women-the burden of osteoporosis and fracture risk,0,2266
199,Space-Time Network Coding With Transmit Antenna Selection and Maximal-Ratio Combining,0,2119
200,"Accessing Men Who have Sex with Men Through Long-Chain Referral Recruitment, Guangzhou, China",0,2248
201,The psychology of the Fruit Machine.,1,1549
202,Frequency modulation of the neuronal theta bursts in the rabbit's septum deprived of ascending afferent input,0,3047
203,How to Procrastinate and Still Get Things Done,1,17
204,The effect of humor on memory: constrained by the pun.,1,1285
205,Electrical and contractile activities of the human rectosigmoid.,0,2261
206,Effects of sertoli cell-conditioned medium on ventral midbrain neural stem cells: A preliminary report,0,3122
207,World Cup Urticaria.,1,738
208,A Lucky Catch: Fishhook Injury of the Tongue,1,633
209,HTSC Levitation Experiment With AC Current Modeling After EDS Maglev,0,2074
210,Specialization for written words over objects in the visual cortex,0,3275
211,Pressures Produced When Penguins Pooh: Calculations on Avian Defaecation,1,27
212,The effect of visual obstructions on the sexual behaviour of guppies: the importance of privacy,0,1841
213,Edibility of the Eggs of Birds.,1,841
214,In-Road Microwave Sensor for Electronic Vehicle Identification and Tracking: Link Budget Analysis and Antenna Prototype,0,1934
215,How baseball players prepare to bat: tactical knowledge as a mediator of expert performance in baseball,1,1532
216,Real-Time Measurement of Volatile Chemicals Released by Bed Bugs during Mating Activities,1,586
217,"Impacts of dam-regulated flows on channel morphology and riparian vegetation: a longitudinal analysis of Satsunai River, Japan",0,1786
218,Can the garden slug live in the human stomach?,1,847
219,Incorrect implementations of the Floyd Warshall algorithm give correct solutions after three repeats,1,1105
220,Medial Orbitofrontal Cortex Mediates Outcome Retrieval in Partially Observable Task Situations,0,2804
221,The emergence of insects from a British River warmed by power station cooling-water,0,1820
222,Beer Consumption and the 'Beer Belly': Scientific Basis or Common Belief?,1,1653
223,An unusual foreign body in the nostril.,1,917
224,Singing the national anthem at major league baseball stadiums raises awareness of ALS,1,1050
225,"Sheep food repellents: Efficacy of various products, habituation, and social facilitation.",1,1316
226,Systemic NK cell ablation attenuates intra-abdominal adipose tissue macrophage infiltration in murine obesity,0,2630
227,"Cichlid species diversity in naturally and anthropogenically turbid habitats of Lake Victoria, East Africa",0,1873
228,Resilience and reduced c-Fos expression in P2X7 receptor knockout mice exposed to repeated forced swim test,0,2805
229,"Clinical characteristics of myelin oligodendrocyte glycoprotein seropositive optic neuritis: a cohort study in Shanghai, China",0,2949
230,Gorbachev! Has the Real Antichrist Come?,1,196
231,One life saved by four prevented recurrences?,0,2517
232,"Acute myeloid leukemia presenting with extensive bone marrow necrosis, leukemia cutis and testicular involvement: successful treatment with allogeneic hematopoietic stem cell transplantation",0,2139
233,Did you hear the one about the doctor? An examination of doctor jokes posted on Facebook.,1,268
234,Making the case for skeletal myopathy as the major limitation of exercise capacity in heart failure.,0,2322
235,Type-2 Fuzzy Entropy Sets,0,2120
236,The effect of gender and alcohol placement in the processing of sexual intent.,1,1169
237,Epidemiology of lawnmower-related injuries in children: A 10-year review,1,1151
238,The relation between the sense of agency and the experience of flow,0,3322
239,Potential-dependent changes in ionic selectivity of batrachotoxin-modified sodium channels of frog nerve fiber,0,2841
240,Fruit Machine Addiction in Females: A Case Study.,1,640
241,CT colonography: performance and program outcome measures in an older screening population.,0,2481
242,Neurons with visual receptive fields independent of eye position in the caudal section of the ventral bank of cat cruciate slucus,0,2996
243,Pink Flamingos: Splendor on the Grass,1,189
244,Neuroprotective effects of nitidine against traumatic CNS injury via inhibiting microglia activation,0,2889
245,General Principles in Treatment of Nasal Hemorrhage: Emphasis on Management of Postnasal Hemorrhage,1,979
246,The declining utilization of brachytherapy for the treatment of prostate cancer: Can magnetic resonance imaging reverse the trend?,0,2625
247,Feelings of Disgust and Disgust-Induced Avoidance Weaken following Induced Sexual Arousal in Women,1,1631
248,An Introduction to Dr. Carl A. Zapffe's Classic Paper: A Reminder on E=mc2,1,660
249,Invasive pneumococcal pneumonia is the major cause of paediatric haemolytic-uraemic syndrome in Taiwan,0,2313
250,Use of Salt Pork to Control Hemorrhage,1,1501
251,Hairy elbows - A case study.,1,673
252,Hair Bibliography for the Forensic Scientist.,1,859
253,Treatment of Penile Strangulation Caused by Constricting Devices,1,657
254,Electrophysiological Parameters and the Possibility of Increasing Imaginal Creativity Using Monetary Rewards,0,3357
255,"High Spider-Fearful and Low Spider-Fearful Individuals Differentially Perceive the Speed of Approaching, but not Receding, Spider Stimuli",0,2881
256,Acute ST-Elevation Myocardial Infarction in Patients Hospitalized for Noncardiac Conditions,0,2314
257,Fos-like immunoreactive neurons following electrical stimulation of the dorsal periaqueductal gray at freezing and escape thresholds,0,2861
258,Laughing: a demanding exercise for trunk muscles.,1,696
259,Viscoelasticity: Why Plastic Bags Give Way When You Are Halfway Home.,1,1097
260,"Fecal Matters: Habitus, Embodiments, and Deviance",1,1254
261,Passage of feed through the adult rooster,1,1052
262,"Temper, temperature, and temptation: heat-related retaliation in baseball",1,206
263,"Flail, flay, or fail: needle-knife versus transpancreatic sphincterotomy to access the difficult-to-cannulate bile duct during ERCP.",0,2478
264,Obesity associated with increased brain age from midlife,0,2744
265,"Growth of Graphene from Food, Insects, and Waste",1,857
266,Temporal evolution of event-related desynchronization in acute stroke: A pilot study,0,3066
267,The History of Dandruff and Dandruff in History: An Homage to Raymond Sabouraud,1,1342
268,Mock jurors' perceptions of facial hair on criminal offenders.,1,1153
269,A wireless multi-channel neural amplifier for freely moving animals,0,3157
270,"Influence of modern irrigation, drainage system and water management on spawning migration of mud loach, Misgurnus anguillicaudatus C.",0,1824
271,Coherence in resting-state EEG as a predictor for the recovery from unresponsive wakefulness syndrome,0,2774
272,Defining anemia by race using epidemiologic data.,0,2254
273,Ginkgo biloba prevents transient global ischemia-induced delayed hippocampal neuronal death through antioxidant and anti-inflammatory mechanism,0,3121
274,The Neural Bases of Disgustfor Cheese: An fMRI Study,1,112
275,Food deprivation and emotional reactions to food cues: implications for eating disorders,0,2984
276,Adiponectin replenishment ameliorates obesity-related hypertension.,0,2264
277,Evidence for a graft-versus-mast-cell effect after allogeneic bone marrow transplantation,0,2495
278,Evaluation of structural contributors in myopic eyes of preterm and full-term children,0,3076
279,Some like it hot: testosterone predicts laboratory eating behavior of spicy food.,1,1206
280,The role of plantar cutaneous sensation in unperturbed stance,0,2909
281,Equidistant Letter Sequences in the Book of Genesis,1,183
282,Scalp Hair Length.,1,204
283,Electric Field Effect in Atomically Thin Carbon Films,1,748
284,Are object shape primitives learnable?,0,2893
285,Trinkaus: An Informal Look,1,271
286,Weird Alien Communication: Panspermia,1,1158
287,Effect of a Popular Middle Eastern Food (Falafel) on Rat Liver,1,1536
288,Letter to the Editor: Enhanced Recovery After Surgery for Low- and Middle-Income Countries,0,2603
289,Kangaroo Care Modifies Preterm Infant Heart Rate Variability in Response to Heel Stick Pain: Pilot Study,1,1294
290,The effect of inferotemporal or foveal prestriate ablation on serial reversal learning in monkeys,0,2962
291,Transfer of peanut allergy from the donor to a lung transplant recipient.,1,710
292,Seeing Objects as Faces Enhances Object Detection,0,3125
293,Effects of mulching withAzadirachta indica andAlbizia lebbeck leaves on the yield of sorghum under semi-aird conditions in Burkina Faso,0,1764
294,The Weighted Airman Promotion System. Standardizing Test Scores.,1,1162
295,Medial temporal and prefrontal function: Recent behavioural disconnection studies in the macaque monkey,0,2956
296,Decoding human brain activity during real-world experiences,0,2684
297,"Beyond ""Poke & Hope"": The next steps for DBS for psychiatric disorders",0,3319
298,Learning modular representations from global sparse coding networks,0,3261
299,Roots in irrigated clay soils: Measurement techniques and responses to rootzone conditions,0,1771
300,"Ist ein ""Handradiologe"" sinnvoll?",0,2363
301,Diagnostic yield and predictive value of provoked ictal SPECT in drug-resistant epilepsies,0,2736
302,"Evaluation of soft tissue sarcomas response to preoperative treatment: Assessment by angiography, thallium scintigraphy, and dynamic MRI",0,2487
303,Development and application of PCR markers specific to the 1Ns chromosome of Psathyrostachys huashanica Keng with leaf rust resistance,0,1750
304,Transport Capacity Analysis of Wireless In-Band Full Duplex Ad Hoc Networks,0,2086
305,Phototherapy - Traditional and Nontraditional,0,2510
306,Astrocytic Cx 43 and Cx 40 in the mouse hippocampus during and after pilocarpine-induced status epilepticus,0,2849
307,The Relation between Saliva Flow after Different Stimulations and the Perception of Flavor and Texture Attributes in Custard Desserts.,1,1609
308,Evolution of the human brain through runaway sexual selection: The mind as a protean courtship device,1,1688
309,The rapid extraction of numeric meaning,0,2999
310,Sneezing Induced by Sexual Ideation or Orgasm: An Under-Reported Phenomenon.,1,740
311,A Novel Non-Invasive Tool for Disease Surveillance of Free-Ranging Whales and Its Relevance to Conservation Programs,1,151
312,Maintenance and Manipulation in Spatial Working Memory: Dissociations in the Prefrontal Cortex,0,2772
313,Observers are consistent when rating image conspicuity,0,2954
314,Territorial Defense in Parking Lots: Retaliation Against Waiting Drivers,1,976
315,Tall Tales of a Tropical Squirrel,1,1253
316,Spread of Fusarium pseudograminearum in wheat seedling tissues from a single inoculation point,0,1912
317,The Palatability of the Eggs of Birds - Illustrated by Experiments on the Food Preferences of the Ferret (Putorius-Furo) and Cat (Felis-Catus) - With Notes on Other Egg-Eating Carnivora.,1,1331
318,I'll scratch your back - if you have one,1,1248
319,Studies in the Respiration of Paramecium caudatum,1,513
320,Brain Activations During Correct and False Recognitions of Visual Stimuli: Implications for Eyewitness Decisions on an fMRI Study Using a Film Paradigm,0,3226
321,"Yes, Virginia, there is a Santa Claus",1,648
322,Open-Switch Fault Detection Method of a Back-to-Back Converter Using NPC Topology for Wind Turbine Systems,0,1937
323,Airbag Deployment and Eye Perforation by a Tobacco Pipe,1,420
324,A Moist Crevice for Word Aversion: In Semantics Not Sounds,1,462
325,Seed bank-vegetation relationships in herbaceous Carolina bays: Responses to climatic variability,0,1891
326,More clarity needed for contraceptive mobile app Pearl Index calculations.,0,2184
327,Racial disparities in outcomes of colorectal cancer screening: biology or barriers to optimal care?,0,2306
328,Adherence to the Caffeine Intake Guideline during Pregnancy and Birth Outcomes: A Prospective Cohort Study,0,3413
329,"Epidemiological study of socioeconomic factors and clinical findings in Hodgkin's disease, and reanalysis of previous data regarding chemical exposure.",0,2176
330,Testing the Validity of the Danish Urban Myth that Alcohol Can Be Absorbed Through Feet: Open Labelled Self Experimental Study,1,643
331,Evidence for spinal cord hypersensitivity in chronic pain after whiplash injury and in fibromyalgia,0,3339
332,The Gendered Ovary: Whole Body Effects of Oophorectomy,1,876
333,A farewell to arm,1,1597
334,Psychopathy and the Detection of Faking on Self-Report Inventories of Personality,1,1377
335,Beetles on the Bottle: Male Buprestids Mistake Stubbiesfor Females (Coleoptera),1,122
336,"Ultrasonographic Monitoring of Artificially Stimulated Ejaculation in Three Rhinoceros Species (Ceratotherium Simum, Diceros Bicornis, Rhinoceros Unicornus).",1,1657
337,The Brand Personality of Rocks: A Critical Evaluation of a Brand Personality Scale,1,30
338,Never Smile at a Crocodile: Betting on Electronic Gaming Machines is Intensified by Reptile-Induced Arousal,1,97
339,Crab louse infestation in pre-Columbian America.,1,1171
340,Pedestrian Vision and Collision Avoidance Behaviour: Investigation of the Information Process Space of Pedestrians Using an Eye Tracker,1,259
341,Why Barbie feels heavier than Ken: The influence of size-based expectancies and social cues on the illusory perception of weight,1,322
342,The stuck slide: how to unstick it.,1,1275
343,Transcatheter arterial infusion therapy in the treatment of advanced pancreatic cancer: A feasibility study,0,2432
344,Models to Evaluate the Role of Stress in Periodontal Disease,1,187
345,"Secret Life: Firsthand, Documented Accounts of UFO Abductions",1,753
346,An ERP study on decisions between attractive females and money.,1,1215
347,The effects of 53 hours of sleep deprivation on moral judgment.,1,1315
348,"Can Sexual Intercourse Be an Alternative Therapy for Distal Ureteral Stones? A Prospective, Randomized, Controlled Study.",1,1265
349,Why Do Old Men Have Big Ears?,1,15
350,The Effect of Background Music in Shark Documentaries on Viewers' Perceptions of Sharks,1,1204
351,The Treatment Dilemma Caused by Lumps in Surfers,1,372
352,Clonal Growth of Primary Human Cell Cultures,1,992
353,Is that a bathtub in your kitchen?,1,343
354,A peer-to-peer dynamic adaptive consensus reaching model for the group AHP decision making,0,1976
