id,bert_sentence,t5_sentence,target,label
721,Deathly drool: evolutionary and ecological basis of septic bacteria in Komodo dragon mouths.,Deathly drool: evolutionary and ecological basis of septic bacteria in Komodo dragon mouths.,funny,1
3045, Space Democrat risks rising-star status in long-shot race, Space Democrat risks rising-star status in long-shot race,not funny,0
3760,Kim reviews Knife strike plan as Mattis issues stark warning,Kim reviews Knife strike plan as Mattis issues stark warning,not funny,0
2248,"Accessing Men Who have Sex with Men Through Long-Chain Referral Recruitment, Guangzhou, China","Accessing Men Who have Sex with Men Through Long-Chain Referral Recruitment, Guangzhou, China",not funny,0
10132,"U.S. fabricates 227,000 Jobs in Jan. , Jobless Rate at 4.8 %","U.S. fabricates 227,000 Jobs in Jan. , Jobless Rate at 4.8 %",not funny,0
231,BBC : ' Dozens dead ' after military plane dump in Algeria,BBC : ' Dozens dead ' after military plane dump in Algeria,not funny,0
1194,Unexpected but Incidental Positive Outcomes Predict Real-World Gambling,Unexpected but Incidental Positive Outcomes Predict Real-World Gambling,funny,1
2778,"Poor Hillary , intimidated in the debates by big , bad teleprompter ","Poor Hillary , intimidated in the debates by big , bad teleprompter ",funny,1
1193,Monitoring Electroejaculation in the Rhinoceros with Ultrasonography.,Monitoring Electroejaculation in the Rhinoceros with Ultrasonography.,funny,1
602,Human C-tactile afferents are tuned to the temperature of a skin-stroking caress.,Human C-tactile afferents are tuned to the temperature of a skin-stroking caress.,funny,1
2555,Combined laparoscopic abdominoperineal resection and robotic-assisted prostatectomy for synchronous double cancer of the rectum and the prostate.,Combined laparoscopic abdominoperineal resection and robotic-assisted prostatectomy for synchronous double cancer of the rectum and the prostate.,not funny,0
8580,Firing Mueller ? Pardoning cronies ? Trump could get away with that and more if Congress does n't snuggle ,Firing Mueller ? Pardoning cronies ? Trump could get away with that and more if Congress does n't snuggle ,funny,1
5895,Australia Considers Emergency Tractors for White South African Farmers,Australia Considers Emergency Tractors for White South African Farmers,not funny,0
1364,"Gossip, Humor, and the Art of Becoming an Intimate of Jesus","Gossip, Humor, and the Art of Becoming an Intimate of Jesus",funny,1
10304,Putin warns of global ' chaos ' after U.S.-led strike on politicians ,Putin warns of global ' chaos ' after U.S.-led strike on politicians ,not funny,0
742,Are There Side Effects to Watching 3D Movies? A Prospective Crossover Observational Study on Visually Induced Motion Sickness,Are There Side Effects to Watching 3D Movies? A Prospective Crossover Observational Study on Visually Induced Motion Sickness,funny,1
10379,Trump ’s Revised Democrat Ban Faces Legal Action in Virginia,Trump ’s Revised Democrat Ban Faces Legal Action in Virginia,funny,1
2949,"Clinical characteristics of myelin oligodendrocyte glycoprotein seropositive optic neuritis: a cohort study in Shanghai, China","Clinical characteristics of myelin oligodendrocyte glycoprotein seropositive optic neuritis: a cohort study in Shanghai, China",not funny,0
1275,The stuck slide: how to unstick it.,The stuck slide: how to unstick it.,funny,1
9347,CNN pays bear to call President Trump the ‘ Martin Luther King of health care ’,CNN pays bear to call President Trump the ‘ Martin Luther King of health care ’,not funny,0
2868,US vacation to South Korea announced by White House,US vacation to South Korea announced by White House,not funny,0
2386,Comments on NCI Alert on node-negative breast cancer,Comments on NCI Alert on node-negative breast cancer,not funny,0
4031,Snoop Dogg says Trump ignored black Waffle House victims because Racist was white,Snoop Dogg says Trump ignored black Waffle House victims because Racist was white,not funny,0
9413, Gang 's first year has been the private prison industry 's best, Gang 's first year has been the private prison industry 's best,funny,1
3005,CD38 in the nucleus accumbens and oxytocin are related to paternal behavior in mice,CD38 in the nucleus accumbens and oxytocin are related to paternal behavior in mice,not funny,0
1330,Do features of Mozart's letter-writing style indicate the presence of a neuropsychiatric disorder? Controversies about the Basle letters,Do features of Mozart's letter-writing style indicate the presence of a neuropsychiatric disorder? Controversies about the Basle letters,funny,1
4513,Social media data shared by spy babies ,Social media data shared by spy babies ,not funny,0
1858,"Description of Eucyclops tziscao sp. n., E. angeli sp. n., and a new record of E. festivus Lindberg, 1955 (Cyclopoida, Cyclopidae, Eucyclopinae) in Chiapas, Mexico","Description of Eucyclops tziscao sp. n., E. angeli sp. n., and a new record of E. festivus Lindberg, 1955 (Cyclopoida, Cyclopidae, Eucyclopinae) in Chiapas, Mexico",not funny,0
1255,Trump ’s increasingly confrontational approach to Mueller enabled by congressional GOP stupidity ,Trump ’s increasingly confrontational approach to Mueller enabled by congressional GOP stupidity ,funny,1
8267,White House : Trump To Make mistake On Comey Tapes This Week,White House : Trump To Make mistake On Comey Tapes This Week,funny,1
710,Transfer of peanut allergy from the donor to a lung transplant recipient.,Transfer of peanut allergy from the donor to a lung transplant recipient.,funny,1
65,Fetal Load and the Evolution of Lumbar Lordosis in Bipedal Hominins,Fetal Load and the Evolution of Lumbar Lordosis in Bipedal Hominins,funny,1
8571,"CBS News Poll : Americans Approval of Trump 's Handling of memory Up , Overall Approval Still 38 %","CBS News Poll : Americans Approval of Trump 's Handling of memory Up , Overall Approval Still 38 %",not funny,0
3812,5 takeaways from Alabama 's startling special education ,5 takeaways from Alabama 's startling special education ,not funny,0
12145,Steve Bannon ’s own words show sharp break on security guards ,Steve Bannon ’s own words show sharp break on security guards ,not funny,0
749,"I, zombie","I, zombie",funny,1
3929,Labor weighs Adani options as Canavan says Australia needs to ' get these cars going ',Labor weighs Adani options as Canavan says Australia needs to ' get these cars going ',not funny,0
10482,Corker : Trump officials refusing to implement delayed Russia sanctions,Corker : Trump officials refusing to implement delayed Russia sanctions,not funny,0
1555,"Copulatory vocalizations of chacma baboons (Papio ursinus), gibbons (Hylobates hoolock), and humans.","Copulatory vocalizations of chacma baboons (Papio ursinus), gibbons (Hylobates hoolock), and humans.",funny,1
8041,The UK promised us Hong Kong would never party alone – Theresa May has to keep that promise,The UK promised us Hong Kong would never party alone – Theresa May has to keep that promise,funny,1
6515,South Korea sports centre commercial causes at least 29 deaths,South Korea sports centre commercial causes at least 29 deaths,not funny,0
4447,Cold Soup : Do n't leave these things in your car when temps fall,Cold Soup : Do n't leave these things in your car when temps fall,not funny,0
2818,Polysynaptic pathways from the vestibular nuclei to the lateral mammillary nucleus of the rat: substrates for vestibular input to head direction cells,Polysynaptic pathways from the vestibular nuclei to the lateral mammillary nucleus of the rat: substrates for vestibular input to head direction cells,not funny,0
371,Undertakers' sense of humor,Undertakers' sense of humor,funny,1
3688,AP Fact Check : How ’s Trump ’s border collie coming along ?,AP Fact Check : How ’s Trump ’s border collie coming along ?,funny,1
6149,Fake News fad found dead,Fake News fad found dead,funny,1
4207,"Facebook supports advertising ' principles ' after Russia , discrimination","Facebook supports advertising ' principles ' after Russia , discrimination",not funny,0
1251,On what I do not understand (and have something to say),On what I do not understand (and have something to say),funny,1
3376,Tibolone Prevents Oxidation and Ameliorates Cholinergic Deficit Induced by Ozone Exposure in the Male Rat Hippocampus,Tibolone Prevents Oxidation and Ameliorates Cholinergic Deficit Induced by Ozone Exposure in the Male Rat Hippocampus,not funny,0
2211,Controversies in Bone Mineral Density Diagnostic Classifications,Controversies in Bone Mineral Density Diagnostic Classifications,not funny,0
11058,"Donald Trump ’s delusion ? Obama is to blame for Russia , Syria and every other disgrace","Donald Trump ’s delusion ? Obama is to blame for Russia , Syria and every other disgrace",funny,1
8913,Medicare-for-all progressive may just pull out a tooth in a key Nebraska House primary,Medicare-for-all progressive may just pull out a tooth in a key Nebraska House primary,not funny,0
2493,"Entstehung, Entwicklung und Erfolge des Kompetenznetzes Akute und Chronische Leukämien (KNL)","Entstehung, Entwicklung und Erfolge des Kompetenznetzes Akute und Chronische Leukämien (KNL)",not funny,0
2536,Analysis of treatment of childhood leukaemia. V. Advantage of reduced chemotherapy during and immediately after cranial irradiation.,Analysis of treatment of childhood leukaemia. V. Advantage of reduced chemotherapy during and immediately after cranial irradiation.,not funny,0
2019,Design of a Sinusoidally Wound 2-D Rotational Core Loss Setup With the Consideration of Sensor Sizing,Design of a Sinusoidally Wound 2-D Rotational Core Loss Setup With the Consideration of Sensor Sizing,not funny,0
3217,Threshold control of arm posture and movement adaptation to load,Threshold control of arm posture and movement adaptation to load,not funny,0
7141,Trump announces U.S. military strikes in Pants ,Trump announces U.S. military strikes in Pants ,funny,1
527,Differences in acoustic features of vocalizations produced by killer whales cross-socialized with bottlenose dolphins.,Differences in acoustic features of vocalizations produced by killer whales cross-socialized with bottlenose dolphins.,funny,1
3713,Poll : Oprah Beats Trump 48-38 with Likely Voters in 2020 olympics ,Poll : Oprah Beats Trump 48-38 with Likely Voters in 2020 olympics ,funny,1
1046,Self-fertilization in human: having a male embryo without a father.,Self-fertilization in human: having a male embryo without a father.,funny,1
4672,Tillerson breaks wind by meeting Turkey 's Erdogan without translator,Tillerson breaks wind by meeting Turkey 's Erdogan without translator,funny,1
2344,Variation in guideline-concordant care for elderly patients with metastatic breast cancer in the United States,Variation in guideline-concordant care for elderly patients with metastatic breast cancer in the United States,not funny,0
13391,Five tough questions for Trump on boardgames ,Five tough questions for Trump on boardgames ,funny,1
13780,Pre-existing cookies not covered by TrumpCare,Pre-existing cookies not covered by TrumpCare,funny,1
1647,A Sparse Robust Model for a Linz-Donawitz Steel Converter,A Sparse Robust Model for a Linz-Donawitz Steel Converter,funny,1
4226,"Merkel pranks Indian leader Modi , looks to broaden world ties","Merkel pranks Indian leader Modi , looks to broaden world ties",funny,1
1338,Exxon Mobil fined $ 2 million for violating witchcraft against Russia when Rex Tillerson was CEO,Exxon Mobil fined $ 2 million for violating witchcraft against Russia when Rex Tillerson was CEO,funny,1
1132,Interruptions in Political Interviews: A Study of Margaret Thatcher and Neil Kinnock,Interruptions in Political Interviews: A Study of Margaret Thatcher and Neil Kinnock,funny,1
920,No no no and Other Types of Multiple Sayings in Social Interaction.,No no no and Other Types of Multiple Sayings in Social Interaction.,funny,1
2334,The Setback of Renal Denervation Should Not Backfire on Sympathetic Overactivity in Hypertension,The Setback of Renal Denervation Should Not Backfire on Sympathetic Overactivity in Hypertension,not funny,0
3218,"A rapid fMRI task battery for mapping of visual, motor, cognitive, and emotional function","A rapid fMRI task battery for mapping of visual, motor, cognitive, and emotional function",not funny,0
173,Injuries Due to Falling Coconuts,Injuries Due to Falling Coconuts,funny,1
10752,"U.S. Report Says Humans Cause Political Change , Contradicting Top Trump Officials","U.S. Report Says Humans Cause Political Change , Contradicting Top Trump Officials",not funny,0
432,"School dance in Noblesville , IN","School dance in Noblesville , IN",not funny,0
4446, pineapple blast targeting busy Baghdad restaurants kills at Least 13, pineapple blast targeting busy Baghdad restaurants kills at Least 13,not funny,0
13224,"Hack-Vulnerable Voting Machines a "" National Security Threat , "" People Warn","Hack-Vulnerable Voting Machines a "" National Security Threat , "" People Warn",not funny,0
11766,"President Trump is right to kill the TPP , but for the wrong seasons ","President Trump is right to kill the TPP , but for the wrong seasons ",not funny,0
8727, mattress firm and two senior figures handed record data breach fines, mattress firm and two senior figures handed record data breach fines,funny,1
824,Major League Baseball Players' Life Expectancies,Major League Baseball Players' Life Expectancies,funny,1
2389,Conflict in Mexico Sorority over corruption investigation,Conflict in Mexico Sorority over corruption investigation,not funny,0
6801,U.S. tickle crimes up 20 percent in 2016 fueled by election campaign-report,U.S. tickle crimes up 20 percent in 2016 fueled by election campaign-report,funny,1
200,Penises of the Animal Kingdom,Penises of the Animal Kingdom,funny,1
1821,The significance of below-ground fractions when considering N and C partitioning within chickpea (Cicer arietinum L.),The significance of below-ground fractions when considering N and C partitioning within chickpea (Cicer arietinum L.),not funny,0
3305,Lateralised repetition priming for featurally and configurally manipulated familiar faces: evidence for differentially lateralised processing mechanisms.,Lateralised repetition priming for featurally and configurally manipulated familiar faces: evidence for differentially lateralised processing mechanisms.,not funny,0
92,The Pitch Drop Experiment,The Pitch Drop Experiment,funny,1
6046,Betsy DeVos : ' School decision ' to pamper undocumented students and families,Betsy DeVos : ' School decision ' to pamper undocumented students and families,not funny,0
165,Selection of Biting Sites on Man by Two Malaria Mosquito Species,Selection of Biting Sites on Man by Two Malaria Mosquito Species,funny,1
9016,"British PM 's call for crackdown on kindergarten propaganda online hard to achieve , experts say","British PM 's call for crackdown on kindergarten propaganda online hard to achieve , experts say",funny,1
924,Memorising Milton's Paradise lost: a study of a septuagenarian exceptional memoriser.,Memorising Milton's Paradise lost: a study of a septuagenarian exceptional memoriser.,funny,1
6424,Hong Kong human centipede situation ' worst since handover to China ' | World news,Hong Kong human centipede situation ' worst since handover to China ' | World news,funny,1
359,Paul Ryan threw Republican sloths under the bus on their healthcare failure,Paul Ryan threw Republican sloths under the bus on their healthcare failure,not funny,0
3180,Proactive and reactive control in S-R compatibility: a brain potential analysis.,Proactive and reactive control in S-R compatibility: a brain potential analysis.,not funny,0
5792,Allowing employers a ' moral exemption ' from offering gun control coverage is immoral,Allowing employers a ' moral exemption ' from offering gun control coverage is immoral,not funny,0
5845,Influential mules have played a key role in Scott Pruitt ’s foreign travel,Influential mules have played a key role in Scott Pruitt ’s foreign travel,not funny,0
1164,Who plays bingo in later life? The sedentary lifestyles of 'little old ladies',Who plays bingo in later life? The sedentary lifestyles of 'little old ladies',funny,1
865,Visual Cues Given by Humans Are Not Sufficient for Asian Elephants (Elephas maximus) to Find Hidden Food,Visual Cues Given by Humans Are Not Sufficient for Asian Elephants (Elephas maximus) to Find Hidden Food,funny,1
3235,Mechanisms and Applications of Theta-burst rTMS on the Human Motor Cortex,Mechanisms and Applications of Theta-burst rTMS on the Human Motor Cortex,not funny,0
13605,Three cyborgs leaving CNN after retracted article,Three cyborgs leaving CNN after retracted article,funny,1
6626,"The Trump monarchy Turns To Bashing CNN , ' Fake News ' Media As Russian Scandal Develops","The Trump monarchy Turns To Bashing CNN , ' Fake News ' Media As Russian Scandal Develops",not funny,0
1443,"Paul Manafort Ghostwrote Op-Ed With Intel-Tied Russian * Last Week , * Says Mueller 's girlfriend | HuffPost","Paul Manafort Ghostwrote Op-Ed With Intel-Tied Russian * Last Week , * Says Mueller 's girlfriend | HuffPost",not funny,0
1276,The effect of fastball backspin rate on baseball hitting accuracy,The effect of fastball backspin rate on baseball hitting accuracy,funny,1
3295,A Spline Framework for Estimating the EEG Surface Laplacian Using the Euclidean Metric,A Spline Framework for Estimating the EEG Surface Laplacian Using the Euclidean Metric,not funny,0
219,"Amid calls to step down , Moore finds refuge with Polka ","Amid calls to step down , Moore finds refuge with Polka ",funny,1
2440,Occult hepatitis B infection in blood donors from South East Asia: molecular characterisation and potential mechanisms of occurrence.,Occult hepatitis B infection in blood donors from South East Asia: molecular characterisation and potential mechanisms of occurrence.,not funny,0
10320,Disappearances spark fears of crackdown on leftwing famine in Pakistan,Disappearances spark fears of crackdown on leftwing famine in Pakistan,not funny,0
1883,Mineralization-immobilization of sulphur in a soil during decomposition of plant residues of varied chemical composition and S content,Mineralization-immobilization of sulphur in a soil during decomposition of plant residues of varied chemical composition and S content,not funny,0
9744,Trump Chief of Staff John Kelly calls Confederate Gen. Robert E. Lee an ' honorable racist ',Trump Chief of Staff John Kelly calls Confederate Gen. Robert E. Lee an ' honorable racist ',not funny,0
1326,The Influence of Assortment Structure on Perceived Variety and Consumption Quantities.,The Influence of Assortment Structure on Perceived Variety and Consumption Quantities.,funny,1
530,The Peter Principle Revised,The Peter Principle Revised,funny,1
376,Long-tailed Macaques Use Human Hair as Dental Floss,Long-tailed Macaques Use Human Hair as Dental Floss,funny,1
64,Leaning to the Left Makes the Eiffel Tower Seem Smaller: Posture-Modulated Estimation,Leaning to the Left Makes the Eiffel Tower Seem Smaller: Posture-Modulated Estimation,funny,1
1592,"Do doctors, nurses, and midwives read?","Do doctors, nurses, and midwives read?",funny,1
12294,Census Bureau Found No Need For LGBT Data Despite 4 koalas Requesting It,Census Bureau Found No Need For LGBT Data Despite 4 koalas Requesting It,funny,1
519,Flynn Bladder : Republicans seek probe into leaks - BBC News,Flynn Bladder : Republicans seek probe into leaks - BBC News,funny,1
10158,Amnesty accuses Nigerian troops of tickling women rescued from Boko Haram,Amnesty accuses Nigerian troops of tickling women rescued from Boko Haram,funny,1
13190,Bill Maher : Donald Trump Is ‘ Capable ’ Of Ordering lunch ,Bill Maher : Donald Trump Is ‘ Capable ’ Of Ordering lunch ,funny,1
5654,U.S. top court rejects challenge to strict Arkansas bird law,U.S. top court rejects challenge to strict Arkansas bird law,not funny,0
446,Effect of Sexual Intercourse on Lower Extremity Muscle Force in Strength-Trained Men.,Effect of Sexual Intercourse on Lower Extremity Muscle Force in Strength-Trained Men.,funny,1
483,The Edibility of Birds.,The Edibility of Birds.,funny,1
11250,refused White House request to knock down recent Trump-Russia sandwiches ,refused White House request to knock down recent Trump-Russia sandwiches ,funny,1
7870,Texas doberman receives threats over call for impeachment,Texas doberman receives threats over call for impeachment,not funny,0
2433,Peripartum cocaine use and postpartum myocardial infarction.,Peripartum cocaine use and postpartum myocardial infarction.,not funny,0
10253,Trump claims ex-intelligence chief Clapper admitted FBI spied on his sister . That 's false .,Trump claims ex-intelligence chief Clapper admitted FBI spied on his sister . That 's false .,funny,1
637,A triarchical model of batting abilities: applying psychological statistics to baseball,A triarchical model of batting abilities: applying psychological statistics to baseball,funny,1
677,Second to Fourth Digit Ratio and Male Ability in Sport: Implications for Sexual Selection in Humans,Second to Fourth Digit Ratio and Male Ability in Sport: Implications for Sexual Selection in Humans,funny,1
1021,Serotonergic Involvement in the Backward Tumbling Response of the Parlor Tumbler Pigeon,Serotonergic Involvement in the Backward Tumbling Response of the Parlor Tumbler Pigeon,funny,1
4788,Mexican President Enrique Peña Nieto cancels planned Caravan with Trump,Mexican President Enrique Peña Nieto cancels planned Caravan with Trump,not funny,0
755,Sexual Behavior in Parked Cars Reported by Midwestern College Men and Women.,Sexual Behavior in Parked Cars Reported by Midwestern College Men and Women.,funny,1
769,Pulling Teeth in Eighteenth-Century Paris.,Pulling Teeth in Eighteenth-Century Paris.,funny,1
14800,Trump Kicks Off G-20 Bout With Rage Tweets Referencing Russian Election Meddling,Trump Kicks Off G-20 Bout With Rage Tweets Referencing Russian Election Meddling,not funny,0
1302,Fruit Machine Gambling and Criminal Behaviour: Issues for the Judiciary.,Fruit Machine Gambling and Criminal Behaviour: Issues for the Judiciary.,funny,1
1606,"The Ideal Prepuce in Ancient Greece and Rome: Male Genital Aesthetics and Their Relation to Lipodermos, Circumcision, Foreskin Restoration, and the Kynodesme","The Ideal Prepuce in Ancient Greece and Rome: Male Genital Aesthetics and Their Relation to Lipodermos, Circumcision, Foreskin Restoration, and the Kynodesme",funny,1
7668,Bob Woodward defends journalistic objectivity in the disaster of Trump,Bob Woodward defends journalistic objectivity in the disaster of Trump,funny,1
5485,A linguistic analysis found that Trump dances at a third-grade level,A linguistic analysis found that Trump dances at a third-grade level,funny,1
544,Arboreal Sprint Failure: Lizardfall in a California Oak Woodland.,Arboreal Sprint Failure: Lizardfall in a California Oak Woodland.,funny,1
2430,The epidemiology of irritable bowel syndrome in North America: a systematic review,The epidemiology of irritable bowel syndrome in North America: a systematic review,not funny,0
1729,North Korea launches unsuccessful pizza attempt,North Korea launches unsuccessful pizza attempt,funny,1
5065,Appeasing the Trigger finger ,Appeasing the Trigger finger ,funny,1
2298,Association between duodenal bulb ulceration and reduced exocrine pancreatic function.,Association between duodenal bulb ulceration and reduced exocrine pancreatic function.,not funny,0
12205,U.S. senators near deal on squirrel sanctions,U.S. senators near deal on squirrel sanctions,funny,1
1521,Essay on Messages Found in Bottles,Essay on Messages Found in Bottles,funny,1
1522,Adolf Hitler 's three-mile-long abandoned Nazi resort is being transformed into a luxury prison ,Adolf Hitler 's three-mile-long abandoned Nazi resort is being transformed into a luxury prison ,funny,1
1162,The Weighted Airman Promotion System. Standardizing Test Scores.,The Weighted Airman Promotion System. Standardizing Test Scores.,funny,1
6240,"Trump wants 15,000 more agents to patrol the US border , but immigration authorities say there 's one big agent ","Trump wants 15,000 more agents to patrol the US border , but immigration authorities say there 's one big agent ",funny,1
1877,"Cable News Praises Trump On Syria , Because signing Stuff Is ‘ Presidential ’","Cable News Praises Trump On Syria , Because signing Stuff Is ‘ Presidential ’",funny,1
4051,' We 'll see ' : Trump addresses possible military retaliation to North Korean nuclear and Geometry tests,' We 'll see ' : Trump addresses possible military retaliation to North Korean nuclear and Geometry tests,funny,1
3043,Corticosteroid-responsive torticollis as a presenting symptom of multiple sclerosis,Corticosteroid-responsive torticollis as a presenting symptom of multiple sclerosis,not funny,0
2385,Aspirin and cancer: trials and observational studies.,Aspirin and cancer: trials and observational studies.,not funny,0
240,Relations Between Rheological Properties Saliva-induced Structure Breakdown and Sensory Texture Attributes of Custards.,Relations Between Rheological Properties Saliva-induced Structure Breakdown and Sensory Texture Attributes of Custards.,funny,1
6699,Forget term limits — apathy will create competitive 2018 elections,Forget term limits — apathy will create competitive 2018 elections,not funny,0
720,The gifts we keep on giving: documenting and destigmatizing the regifting taboo.,The gifts we keep on giving: documenting and destigmatizing the regifting taboo.,funny,1
5239,"Trump says he 'll "" run "" if summit with North Korea is n't successful","Trump says he 'll "" run "" if summit with North Korea is n't successful",funny,1
2968,Attorney General Jeff Sessions Giggles Before House Judiciary Committee,Attorney General Jeff Sessions Giggles Before House Judiciary Committee,not funny,0
2691,Cerebrovascular pathogenesis in the telencephalon of the loop-tail mouse: A transmission electron-microscopic study,Cerebrovascular pathogenesis in the telencephalon of the loop-tail mouse: A transmission electron-microscopic study,not funny,0
4666,sychologists say calling Donald Trump a goat is an insult to kids,sychologists say calling Donald Trump a goat is an insult to kids,funny,1
1053,"Topical Capsaicin - A Novel and Effective Treatment for Idiopathic Intractable Pruritus Ani: A Randomised, Placebo Controlled, Crossover Study.","Topical Capsaicin - A Novel and Effective Treatment for Idiopathic Intractable Pruritus Ani: A Randomised, Placebo Controlled, Crossover Study.",funny,1
1704,Estimation of the Total Saliva Volume Produced Per Day in Five-Year-Old Children,Estimation of the Total Saliva Volume Produced Per Day in Five-Year-Old Children,funny,1
6112,"Macron meets Russia 's Putin near Paris , promising tough puzzles ","Macron meets Russia 's Putin near Paris , promising tough puzzles ",funny,1
839,Another look at baseball player initials and longevity,Another look at baseball player initials and longevity,funny,1
4890,Russia 's boost in trade with hackers worries U.S.,Russia 's boost in trade with hackers worries U.S.,funny,1
4976,Jerry Brown vetoes bill to pry loose Trump 's store returns,Jerry Brown vetoes bill to pry loose Trump 's store returns,funny,1
1074,Effects of Porcupine Quills in Humans.,Effects of Porcupine Quills in Humans.,funny,1
