dataset,param_metric,top,learning_rate,per_device_train_batch_size,per_device_eval_batch_size,lora_rank,lora_alpha,num_train_epochs,median_accuracy,model_name
LOO_headlines,best_others_median,1,0.0003,2,2,64,16,2,0.9126,Mistral-7B-v0.1-LOO_headlines-COMB_amazon-comb3-seed28-2025-06-09
LOO_headlines,best_others_median,2,0.0003,2,2,128,16,2,0.9097,Mistral-7B-v0.1-LOO_headlines-COMB_one_liners-comb2-seed42-2025-06-10
LOO_headlines,best_others_median,3,0.0003,2,2,64,32,2,0.9097,Mistral-7B-v0.1-LOO_headlines-COMB_amazon-comb1-seed28-2025-06-08
LOO_one_liners,best_trained,1,0.0003,2,2,64,16,2,0.7123,Mistral-7B-v0.1-LOO_one_liners-COMB_amazon-comb3-seed7-2025-06-09
LOO_one_liners,best_trained,2,5e-05,2,2,64,32,2,0.7063,Mistral-7B-v0.1-LOO_one_liners-COMB_headlines-comb2-seed7-2025-06-10
LOO_one_liners,best_trained,3,0.0003,2,2,64,32,2,0.7044,Mistral-7B-v0.1-LOO_one_liners-COMB_amazon-comb1-seed42-2025-06-08
LOO_one_liners,best_median,1,0.0003,2,2,64,32,2,0.9137,Mistral-7B-v0.1-LOO_one_liners-COMB_amazon-comb1-seed42-2025-06-08
LOO_one_liners,best_median,2,0.0003,2,2,64,16,2,0.9093,Mistral-7B-v0.1-LOO_one_liners-COMB_amazon-comb3-seed7-2025-06-09
LOO_one_liners,best_median,3,0.0003,2,2,64,8,2,0.9057,Mistral-7B-v0.1-LOO_one_liners-COMB_amazon-comb2-seed7-2025-06-08
LOO_one_liners,best_others_median,1,0.0003,2,2,64,32,2,0.9137,Mistral-7B-v0.1-LOO_one_liners-COMB_amazon-comb1-seed42-2025-06-08
LOO_one_liners,best_others_median,2,0.0003,2,2,64,16,2,0.9093,Mistral-7B-v0.1-LOO_one_liners-COMB_amazon-comb3-seed7-2025-06-09
LOO_one_liners,best_others_median,3,0.0003,2,2,64,8,2,0.9057,Mistral-7B-v0.1-LOO_one_liners-COMB_amazon-comb2-seed7-2025-06-08
