sentence,label,idx,target
question: Can I use this on my wife? product: 100% No Wire - Wire-Free Wireless Dog Fence System - 1 Rechargeable Waterproof Receiver Collar - 500M Radius Remote Control - Pet Safe Training Perimeter Radio Wi-Fi Transmitter - Invisible Dog Fence,1,10518,funny
question: Does this particular one actually work? product: LYZ Waist Cincher Trainer Body Tummy Girdle Control Corset Sport Shaper Belly XXX-Large(Waist 36.2-38.5inch) Black,0,17553,not funny
question: Do you sell Japanese version or American version product: Pokémon Ultra Moon - Nintendo 3DS,0,9526,not funny
question: does it actually blow stuff product: Fake Cigarettes Costume Accessories,1,16832,funny
question: Will the colour of the mask rub off on clothing? product: CreepyParty Novelty Halloween Costume Super Bowl Underdog Party Latex Dog Head Mask (German Shepherd),0,2581,not funny
question: Can this repel my wife? product: JungeTOGO Mosquito Repellent Electronic Ultrasonic Pest Repeller Plug in -Bug Repellent Pest Control for Roach Mice Spider Ant RodentBedbugs -White,1,1410,funny
question: Will these pins make me the best there ever was? product: Pokemon Gym Badges Set of 8PCS (Red),1,17658,funny
question: Do they have an expiration date? product: Chirps Cricket Protein Chips Variety Pack Gluten-Free High Protein 5 Oz (Pack of 3) - As Seen On Shark Tank,0,12039,not funny
question: Will this repel zombies? product: Pure Cold Pressed ORANGE OIL Concentrate - 32 oz (D-Limonene),1,3590,funny
question: The photo isn't very clear. Is there a place to attach a d ring on it to hang it in a tree? product: Backpacker's Cache - Bear Proof Container,0,507,not funny
question: Can it kill zombies? product: Musashi - 1060 Carbon Steel - Best Miyamoto Sword (Black),1,11766,funny
question: Is the seat adjustable? product: Fisher-Price Harley-Davidson Tough Trike [Amazon Exclusive],0,326,not funny
question: Where is it made product: Trump Make America Great Again Red Cap Collectible Ornament,0,8620,not funny
question: Hi!!  i'm in need of a collar that stops whining. would this work for us??  i appreciate any and all input!!  muchas gracias!! product: MAKES THEM PAWZ Sebenzela Sonic Bark Control Collar - Safe Effective Humane using sound & vibration - training control collar useful for dogs from 5 to 150 lbs - Battery Operated Device,1,7972,funny
question: Is this legit? What is the catch on the flight certificate? product: Get Packing! by JetBlue,1,3423,funny
question: Is Jeff Bezsos or the Government watching through the front camera? product: Echo Spot - Smart Alarm Clock with Alexa - White,1,15647,funny
question: Is this vacuum a him or a her or something else? I'm not sure which pronoun it prefers and I want it to feel included in our family. product: Shark Navigator Lift-Away Professional NV356E,1,18454,funny
question: Hello where is this manufactured? product: MOOSENG Swim Goggles Swimming Goggles Professional Anti Fog No Leaking Uv Protection Wide View Swim Goggles for Women Men Adult Youth Kids,0,16278,not funny
question: What age group is this set for product: Learn & Climb Educational Play Money Set - Over 560 Pieces. Bills-Coins-Wallet-CC-Checks+ Lid. Little Banker's Toy,0,2412,not funny
question: Is it safe... product: Powerboard by HOVERBOARD - 2 Wheel Self Balancing Scooter with LED Lights - Hands Free Battery Powered Electric Motor - Airboard - The Perfect Personal Transporter - USA Company,0,6490,not funny
question: How well can I garden in this? product: Rasta Imposta Giraffe Costume Brown/Yellow One Size,1,16112,funny
question: How loud is the whistle? We had a Sophie for my son but the squeaker drove me (and our dogs) nuts. product: Vulli Teether Fanfan The Fawn,0,11475,not funny
question: What does it do? product: Accoutrements Yodelling Pickle,0,16302,not funny
question: Dan Post teju lizard boots product: Dan Post Men's Milwaukee 13 inch R Toe Western BootBlack10 D US,0,18507,not funny
question: Single athletic male age 69 with no family and no visitors except his landlady once a month uses this whole package in a month.  Is that excessive? product: Scott 1000 Sheets Per Roll Toilet Paper 27 Rolls Sewer-Safe Septic-Safe 1-Ply Bath Tissue America's Longest Lasting Roll,1,16603,funny
question: If they melt do I cry? product: YORK Dark Chocolate Peppermint Patties Candy 40 Ounce Bulk Candy,1,13493,funny
"question: How many traps are contained in the package? The package picture lists 2 - the ""Product Description"" states package quantity = 1 product: Tomcat Kill and Contain Mouse Trap 2-Pack",0,5819,not funny
question: how many liters? product: Kattee Men's Leather Canvas Backpack Large School Bag Travel Rucksack Gray,0,1295,not funny
question: can someone buy me one ? LOL product: Logitech G27 Racing Wheel,1,10791,funny
question: Does this fit the 6005 cartridges? product: 3M Rugged Comfort Quick Latch Half Facepiece Reusable Respirator 6501QL/49488 Small,0,6755,not funny
question: Whats the hilt assembly look like? Peened nut threaded intergrated? product: Medieval Bar Mace,0,5148,not funny
question: This remarkable product looks like it might be a great device to slice sushi rolls.  Any comments? product: Hutzler 571 Banana Slicer,1,1736,funny
"question: Does it wash the dishes and take out the trash like my kid is claiming to do if i buy him one product: Apple iPhone X Fully Unlocked 5.8"" 64 GB - Silver",1,16449,funny
question: Is the woman included or an accessory that requires additional cost? product: Weighted Idea Soft Weighted Blanket Adult 15 lbs | 60''x80'' | Grey Rhombus | with Removable Cover,1,15019,funny
question: it resistant to Miami heat product: REXING HD18 Dash Cam Dual Front and Rear with 250 Degree Angle HD Dashboard Camera and Visual Reversing Function for Car Vehicle,1,948,funny
question: Will it get me chicks? product: Betson Ms. Pac Man & Galaga Upright Arcade Game Machine,1,4972,funny
question: I wonder what it will cost when amazon takes over the world? product: Nestle Pure Life Purified Water 16.9 Oz CxDiNI (Pack of 48),1,5935,funny
question: who whould acually buy this? $3000? really? product: Stormtrooper,0,4361,not funny
question: Going get this weekend this tv :) product: Samsung UN105S9 Curved 105-Inch 4K Ultra HD 120Hz 3D Smart LED TV,0,6586,not funny
question: What about this product is herringbone? product: sunpangpang,0,2796,not funny
question: Has anyone found a more comfortable seat that fits this bike or a way to position it so that it is not so painful? product: Sunny Health & Fitness Pro Indoor Cycling Bike,0,16413,not funny
question: Can I use it underwater to communicate with whales or Aquaman? product: Bose SoundLink Micro Bluetooth speaker - Black,1,15942,funny
question: Does the cat like it? product: TOTU Wireless Noise Cancelling Sports Headphones with Microphone Black,1,3579,funny
question: Does the leather really smell like burning gas chambers? product: Ivanka Trump Womens ISSA,1,8047,funny
question: if i wear this will it affects me driving my lamborghini aventador? product: Waterproof Silicone Bib Easily Wipes Clean! Comfortable Soft Baby Bibs Keep Stains Off! Spend Less Time Cleaning After Meals with Babies or Toddlers! Set of 2 Colors (Lime Green/Turquoise),1,10833,funny
question: does it have ude product: Morton Iodized Table Salt All-Purpose Iodized Salt for Cooking Seasoning and Baking 26 OZ Canister,0,10271,not funny
question: don't mess with  them product: Winning Moves Games Classic Ouija,1,5242,funny
question: Will it show if  you have Cree Indian? product: Cherokee DNA Test,1,16295,funny
question: Can we shoot dinosaurs? product: Adventure Awaits! - Handmade Wood Toy Crossbow Set - 10 Wood Arrows and a Quiver - for Outdoor Play,1,930,funny
question: Why is Joseph sad?  I think he should be smiling as Jesus is born! product: Christmas Inflatable Holy Family Nativity Scene by Holiday Time,1,1887,funny
question: will the ugly looks of this eat my soul? product: Samsung Galaxy S4 Zoom 16MP Camera Android Smartphone - White (International Version),1,9322,funny
question: I honestly don't know what this is. Lol. Is it dangerous? product: Winning Moves Games Classic Ouija,1,357,funny
question: Can I talk to people in heaven with this? product: Winning Moves Games Classic Ouija,1,5256,funny
"question: Would this adhere to a textured surface? product: StickerJOE Ticket to Hell Funny Cool Sticker 3.5"" X 2""",0,7652,not funny
question: Can I train to be like goku product: PER4M Speed + Power Kit,1,17635,funny
question: If I used this for a night time airsoft game could other people see me? product: AGM Spy Night Vision Goggles Adjustable Night Goggles with Flip-Out Lights Green Lens,0,13253,not funny
question: What are the dimensions of the towels and how many does one get? product: The Original Shamwow - Super Absorbent Multi-purpose Cleaning Shammy (Chamois) Towel Cloth Machine Washable Will Not Scratch (8 Pack: 4 Large Orange and 4 Small Blue),0,13490,not funny
question: Does it pair best with a red or white wine?  What about dandelion wine? product: Think Geek Canned Unicorn Meat,0,2452,not funny
question: Why do wireless routers look like Darth Vader's helmet or a dead spider?  Why can't they be a rectangular box like normal stuff? product: NETGEAR Nighthawk AC1900 Dual Band WiFi Router Smart Parental Controls Compatible with Amazon Alexa (R7000),1,9068,funny
question: What does the bowl icon mean in the top middle of the display? We just got two of these feeders and aren't sure if they fed as scheduled overnight. product: HoneyGuaridan A25 Automatic Pet Feeder Food Dispenser with Removable Food Container Portion ControlVoice Recording and Timer Programmable 6-Meal for Dogs (Medium and Small) and Cats & Small Animal,0,8497,not funny
question: Does this work on jehova's witnesses? product: Springer Magrath Stock Prod 34 in Replacement Shaft,1,12986,funny
question: Do I have to grow a beard first to u this product: Beard Facial Hair Growth Grow Eyebrow Natural Roll-On Serum 10ml by Geniue,1,4345,funny
question: How long can this sit while pumped up (about four pumps) without doing damage? product: Crosman P1377BR American Classic Multi Pump .177-Caliber Pneumatic Pellet Air Pistol Brown,0,1222,not funny
question: Is it as good in real life as it looks in the photo? product: Trump Make America Great Again Red Cap Collectible Ornament,0,15463,not funny
"question: Will you give a replacement if you sell ""say like myself"" a cusa-8630 region copy when i live in the united states? dlc will not install! product: Call of Duty: WWII - PlayStation 4 Standard Edition",0,12285,not funny
question: What is the expiration date of this item? product: IOSAT - Pack of 3 by Iosat - Octobe 2024 Expiration Date or Later,0,3918,not funny
question: Is the child included? product: 6 Foot Life-Size Teddy Bear Cream Vanilla Color Smiling Face Giant Stuffed Animal Cozy Cuddles,1,11589,funny
question: Can this feeder dispense 1/8 of a cup of cat food? product: HoneyGuaridan A25 Automatic Pet Feeder Food Dispenser with Removable Food Container Portion ControlVoice Recording and Timer Programmable 6-Meal for Dogs (Medium and Small) and Cats & Small Animal,0,10942,not funny
question: My girlfriend told me to go to hell. Will this phone work there? product: 2019 Unlocked IsatPhone 2.1 Satellite Phone - Voice SMS GPS Tracking SOS Global Coverage - Water Resistant - SIM Card Included (No Airtime) - Prepaid and Monthly Plans Available,1,14016,funny
question: I tried these pills for acouple days and i feel really weird taking them. how do i go about the money back guarantee? thank you product: MOM ENERGY - Energy Pills for Women 100 Capsules,0,5846,not funny
question: Is this real product: Uranium Ore,0,6215,not funny
question: Do these work on fabric? product: Metallic Marker Pens Metallic Color Painting Marker for Card Making / DIY Photo Album Set of 10 Colors,0,10110,not funny
question: Can I order a big one of these with a human in it? product: EcoSphere Closed Aquatic Ecosystem Small Sphere,1,3249,funny
question: I just plugged mine in and I've been getting divorce lights that doesn't go away. Flashing red and bright green. What does this mean? product: Pest Soldier Electronic Plug Ultrasonic Pest Control Repeller for Insects - White Set of 4,1,16286,funny
question: with this work with ASUS ATX DDR3 1600 LGA 1150 Motherboard MAXIMUS VII FORMULA product: Samsung 850 PRO - 1TB - 2.5-Inch SATA III Internal SSD (MZ-7KE1T0BW),0,11954,not funny
question: How pissed off would a school principal be if these were let loose in the school? product: 150 Live Ladybugs - Good Bugs - Ladybugs - Guaranteed Live Delivery!,1,12458,funny
question: Should you wash them in the dishwasher folded up or fully extended? product: PowerLead Puto PLD003 Mini DV C8 16MP High Definition Digital Video Camcorder DVR 2.7'' TFT LCD 16x Zoom Hd Video Recorder Camera 1280 x 720p Digital Video Camcorder(Black),1,2911,funny
question: Will this product give you superpowers? product: GlowBowl 54564 A-00452-01 Motion Activated Toilet Nightlight,1,14658,funny
question: on the headphones are there controls/buttons for changing songs forward and reverse and volume? product: Sony MDRXB950BT/B Extra Bass Bluetooth Headphones (Black),0,18724,not funny
question: when are they going to be up for preorder?  i hear scalpers already got them all somehow? product: Super NES Classic,0,12978,not funny
question: Will it help me to capture Jerusalem? product: Cold Steel Templar Throwing Knife / Axe,1,13016,funny
question: I search for an 8k tv and this came up.... why??? product: Samsung UN85S9 Framed 85-Inch 4K Ultra HD 3D Smart LED TV,0,9770,not funny
question: Is it halal? product: Hutzler 571 Banana Slicer,0,18956,not funny
question: Is there such thing as unicorns? I thought they were only in fairytales? product: Think Geek Canned Unicorn Meat,1,6184,funny
question: must you carry your phone with you when running to get GPS? product: Apple Watch Series 1 Sport 42mm Space Gray Aluminum Case with Black Sport Band,0,1538,not funny
question: What is the diameater of the grip and of the pommel or how wide is the guard product: Dragons Tongue Warrior Short Sword,0,14674,not funny
question: Will the elf age over time? product: The Elf on the Shelf: A Christmas Tradition ,1,2189,funny
"question: can I buy in bulk....I wanted to pass them out to coworkers .. because that's where we work product: StickerJOE Ticket to Hell Funny Cool Sticker 3.5"" X 2""",0,16026,not funny
question: Will these stakes work on vampires? product: Vargo Titanium Nail Peg (6 Pack),1,3102,funny
question: Is this camera motion activated turning on and recording when approached in a parking lot? product: REXING HD18 Dash Cam Dual Front and Rear with 250 Degree Angle HD Dashboard Camera and Visual Reversing Function for Car Vehicle,0,14598,not funny
"question: Is this an actual box with a back you can open? I wanted to fill it with cat treats and use it as a gift box. product: Primitives by Kathy Paw Print Trimmed Box Sign 5"" Square Cat Better Life",0,10964,not funny
question: Can this device be stuck up an alien's butt to increase the search of other aliens? product: UFO Detector - Internal magnetometer interfaced with microcontroller for 24 hour/7 days a week monitoring for magnetic anomalies that have been reported with many UFO sightings,1,10478,funny
question: Is this made of people? if so were they grain fed? free range? free of antibiotics and steroids? thanks! product: Soylent Meal Replacement Drink Original 14 oz Bottles 12 Pack (Packaging May Vary),1,3972,funny
question: What is the maximum length the strap can be set to? product: Pokemon Center Original Lillie Drum Bag,0,1420,not funny
question: Can I eat it on a patty product: Echo Dot (2nd Generation) - Smart speaker with Alexa - Black,1,207,funny
question: Hi! Whats the expiry date of this product? Pls advise thanks! product: Haribo Gummi Candy Goldbears Gummi Candy 5 Pound Bag,0,18071,not funny
question: would this be good for zombie killing? product: Condor Tool & Knife Engineer Bolo Machete 15in Blade Hardwood Handle with Sheath,1,18651,funny
question: Did they come with colored balloons? product: EnChroma Color Blind Glasses - Northside Semi-Wrap Sunglasses- Cx3 Sun For Deutan to Protan Color Blindness,1,3039,funny
question: Why is it 100.00 product: The Noble Collection Harry Potter - Sorcerer's Stone,0,15016,not funny
question: How many Calories does it give you? product: ThinkGeek Easy-Open Canned Unicorn Meat: Excellent Source of Sparkles Magic in Every Bite 5.5 Ounce - Stuffed Plush Toy,0,13029,not funny
question: Can you poop on it product: Apple iPad Pro (11-inch Wi-Fi 64GB) - Space Gray (Latest Model),1,11285,funny
question: Do you get the FBI agent or does that cost extra? product: Plug-in Mount - Accessory for Google Home Mini - 2019 Model (Gray),1,6777,funny
question: Is there a sleeveless version in the pipeline? product: The Mountain Adult Unisex T-Shirt - Three Wolf Moon Classic,0,17008,not funny
question: how do i close it it can someone tell me plz product: TAC Force TF-438BP Assisted Opening Folding Knife Black Spear Point Blade Black Wood Handle 4-Inch Closed,0,16895,not funny
question: So i could feed this to my tarantula let it bite me and ill become Spider Man? product: Uranium Ore,1,10194,funny
question: Do babies who use this blanket have to call parents Great Leader or will mama and daddy still work? product: Ivanka Trump Wildflower Collection: Super Soft Plush Baby Blanket - Pink/White Trellis,1,18301,funny
question: Is the dolls volume adjustable? product: Baby Alive Real As Can Be Baby: Realistic Blonde Baby Doll 80+ Lifelike Expressions Movements & Real Baby Sounds With Doll Accessories Toy for Girls and Boys 3 and Up,0,14971,not funny
question: what material is this backpack made of? product: G4Free Large 40L Lightweight Water Resistant Travel Backpack/Foldable & Packable Hiking Daypack(Black),0,11048,not funny
"question: What is the scale size ? product: Jada Toys 2015 Dodge Challenger Hellcat BTM Radio Control Vehicle 7.5""",0,13365,not funny
question: Does the slicer come tuned or if not are there tuning instructions? product: Hutzler 571 Banana Slicer,1,4305,funny
question: Are the seeds washed? product: Hirt's Heavenly Blue Morning Glory - 4500 Seeds - UNTREATED/FRESH,0,17988,not funny
question: are any of the reviews posted written by a 'verified purchaser'? product: Trump Make America Great Again Red Cap Collectible Ornament,0,1398,not funny
question: Do we Needlework a cabule to pulga it? product: Echo Dot (2nd Generation) - Smart speaker with Alexa - White,0,4790,not funny
question: does it dry clear or white? product: Tear Mender Instant Fabric and Leather Adhesive 6 oz Bottle TG06H,0,18846,not funny
question: Will it hold for my note 5? product: Car Cell Phone Holder Rienar Universal Car Steering Wheel Smartphone Mount Clip Buckle Socket for iPhone X 8 8 Plus 7 7 Plus SE 6s 6 Plus 6 Galaxy S8 S7 S6 and More,0,15654,not funny
"question: Is it offensive if I give this to a serial killer product: Doll House Miniature Electric Chair ""Old Sparky""",1,17449,funny
question: Is there a weight limit product: Big Joe Roma Chair Limo Black,0,18917,not funny
question: Does the fragrance clash with the original mint-flavor Tic Tacs?   I like to move in close if you know what I mean. product: Trump Success Eau de Toilette Spray for Men 3.4 Fluid Ounce,1,300,funny
question: Is the mustache separate from the beard? product: Rubie's Deluxe Santa Beard and Wig Set White One Size,0,4739,not funny
question: The picture looks like the gloves are grabbing someone's neck. Are these meant for strangling? product: Black Nitrile Disposable Gloves Powder Free Textured Fingertips 4 Mil Thickness Latex Free Medical Examination Glove (Extra Large),1,18354,funny
question: Is it made from real unicorns? product: Kellogg's Limited Edition Unicorn Cereal 10 oz,1,16105,funny
question: Are these for men or woman? product: White Frame LOCS Hardcore Sunglasses,0,18127,not funny
question: Will this slicer slice other banana slicers? Is it sliceable by other slicers? product: Hutzler 571 Banana Slicer,1,11600,funny
question: Does this machete text?  My current machete don't text and I'm thinking about an upgrade. product: Kershaw Machete/Camp Knife.,1,17281,funny
question: Does this have any features that the Furby Boom doesn't? product: Star Wars Furbacca,0,13802,not funny
question: What is the weight capacity? product: Herman Miller Embody Chair: Fully Adj Arms - Graphite Frame/Base - Standard Carpet Casters,0,15129,not funny
question: Is the skin orange colored? product: Advanced Graphics Donald Trump Life Size Cardboard Standup,1,13474,funny
