id,bert_sentence,t5_sentence,target,label
13942,Will this game shake it up and change it and along with that take it all and rearrange it? [SEP] Cory in the House - Nintendo DS,Will this game shake it up and change it and along with that take it all and rearrange it? </s> Cory in the House - Nintendo DS,not funny,0
1858,"Description of Eucyclops tziscao sp. n., E. angeli sp. n., and a new record of E. festivus Lindberg, 1955 (Cyclopoida, Cyclopidae, Eucyclopinae) in Chiapas, Mexico","Description of Eucyclops tziscao sp. n., E. angeli sp. n., and a new record of E. festivus Lindberg, 1955 (Cyclopoida, Cyclopidae, Eucyclopinae) in Chiapas, Mexico",not funny,0
9148,how many bees died for one of these things....? [SEP] New Zealand Active Bee Venom Lip Plumper - Best Lip Plumper Balm 4.5g,how many bees died for one of these things....? </s> New Zealand Active Bee Venom Lip Plumper - Best Lip Plumper Balm 4.5g,funny,1
4797,Can you actually kill a Jedi Knight with this light saber? [SEP] Star Wars Rebels Darth Vader Lightsaber Toy,Can you actually kill a Jedi Knight with this light saber? </s> Star Wars Rebels Darth Vader Lightsaber Toy,funny,1
710,Transfer of peanut allergy from the donor to a lung transplant recipient.,Transfer of peanut allergy from the donor to a lung transplant recipient.,funny,1
65,Fetal Load and the Evolution of Lumbar Lordosis in Bipedal Hominins,Fetal Load and the Evolution of Lumbar Lordosis in Bipedal Hominins,funny,1
18982,Does every piece of furniture made of wood need to be covered with newspaper? [SEP] S C Johnson Wax 41654 Raid 5 oz Flea Fogger (1 Pack),Does every piece of furniture made of wood need to be covered with newspaper? </s> S C Johnson Wax 41654 Raid 5 oz Flea Fogger (1 Pack),not funny,0
13027,Would it fit my 2000 infiniti g20 [SEP] Qiyun Acrylic Dragonball Replica Ball (Large/4 Stars),Would it fit my 2000 infiniti g20 </s> Qiyun Acrylic Dragonball Replica Ball (Large/4 Stars),not funny,0
13138,"Is the fabric coated with fire retardant or stain repellent? [SEP] Ejoyous Kids Stuffed Animal Storage Bean Bag Chair 38"" with Extra Mental Zipper and Carrying Handle Excellent Solution for Toys and Clothes Available For Boys And Girls (Blue)","Is the fabric coated with fire retardant or stain repellent? </s> Ejoyous Kids Stuffed Animal Storage Bean Bag Chair 38"" with Extra Mental Zipper and Carrying Handle Excellent Solution for Toys and Clothes Available For Boys And Girls (Blue)",not funny,0
749,"I, zombie","I, zombie",funny,1
12099,can this be pulged into a wall outlet? [SEP] Ohderii 7 Colors Mini Portable Landscape Design Essential Oil Diffuser 180ml Aroma Essential Oil Cool Mist Humidifier with Adjustable Mist Mode Waterless Auto Shut-Off Gifts for Women (Pink),can this be pulged into a wall outlet? </s> Ohderii 7 Colors Mini Portable Landscape Design Essential Oil Diffuser 180ml Aroma Essential Oil Cool Mist Humidifier with Adjustable Mist Mode Waterless Auto Shut-Off Gifts for Women (Pink),not funny,0
15009,I live part time in california does trumpy bear come with a finnish fire rake accessory or do we have to order that separately? [SEP] Trumpy Bear,I live part time in california does trumpy bear come with a finnish fire rake accessory or do we have to order that separately? </s> Trumpy Bear,not funny,0
1555,"Copulatory vocalizations of chacma baboons (Papio ursinus), gibbons (Hylobates hoolock), and humans.","Copulatory vocalizations of chacma baboons (Papio ursinus), gibbons (Hylobates hoolock), and humans.",funny,1
4945,can someone buy me one ? LOL [SEP] Logitech G27 Racing Wheel,can someone buy me one ? LOL </s> Logitech G27 Racing Wheel,funny,1
18727,Can she pee [SEP] Baby Reborn Dolls Girls Soft Silicone Vinyl Full Body 55cm 22inch Lifelike Newborn Cute Kid Doll with Clothes,Can she pee </s> Baby Reborn Dolls Girls Soft Silicone Vinyl Full Body 55cm 22inch Lifelike Newborn Cute Kid Doll with Clothes,not funny,0
15044,Heard this has a reputation of breaking from the tang. Any truth to that anyone? [SEP] Cold Steel 88GMS Grosse Messer Sword,Heard this has a reputation of breaking from the tang. Any truth to that anyone? </s> Cold Steel 88GMS Grosse Messer Sword,not funny,0
2818,Polysynaptic pathways from the vestibular nuclei to the lateral mammillary nucleus of the rat: substrates for vestibular input to head direction cells,Polysynaptic pathways from the vestibular nuclei to the lateral mammillary nucleus of the rat: substrates for vestibular input to head direction cells,not funny,0
371,Undertakers' sense of humor,Undertakers' sense of humor,funny,1
8258,Size 8 is an XL on what planet? [SEP] Meaneor Women Solid Comfy Loose Fit Roll Over Short Sleeve V Neck Lightweight Top Tee,Size 8 is an XL on what planet? </s> Meaneor Women Solid Comfy Loose Fit Roll Over Short Sleeve V Neck Lightweight Top Tee,funny,1
287,How do I tell my butler he's being replaced by a machine I bought online? [SEP] Echo Show - 1st Generation Black,How do I tell my butler he's being replaced by a machine I bought online? </s> Echo Show - 1st Generation Black,funny,1
9964,Would this be a suitable gift for a university student? [SEP] Trump Make America Great Again Red Cap Collectible Ornament,Would this be a suitable gift for a university student? </s> Trump Make America Great Again Red Cap Collectible Ornament,not funny,0
1251,On what I do not understand (and have something to say),On what I do not understand (and have something to say),funny,1
3376,Tibolone Prevents Oxidation and Ameliorates Cholinergic Deficit Induced by Ozone Exposure in the Male Rat Hippocampus,Tibolone Prevents Oxidation and Ameliorates Cholinergic Deficit Induced by Ozone Exposure in the Male Rat Hippocampus,not funny,0
2211,Controversies in Bone Mineral Density Diagnostic Classifications,Controversies in Bone Mineral Density Diagnostic Classifications,not funny,0
7532,Is this the giga bite hi or the giga bite el? [SEP] Damage Control Mouthguards Giga Bite Mouthguards,Is this the giga bite hi or the giga bite el? </s> Damage Control Mouthguards Giga Bite Mouthguards,funny,1
12310,What's the durability like? I'd like to throw it on my key ring but I'm not sure about the plastic holding up over time. [SEP] SanDisk Ultra Flair 32GB USB 3.0 Flash Drive - SDCZ73-032G-G46,What's the durability like? I'd like to throw it on my key ring but I'm not sure about the plastic holding up over time. </s> SanDisk Ultra Flair 32GB USB 3.0 Flash Drive - SDCZ73-032G-G46,not funny,0
2493,"Entstehung, Entwicklung und Erfolge des Kompetenznetzes Akute und Chronische Leukämien (KNL)","Entstehung, Entwicklung und Erfolge des Kompetenznetzes Akute und Chronische Leukämien (KNL)",not funny,0
2536,Analysis of treatment of childhood leukaemia. V. Advantage of reduced chemotherapy during and immediately after cranial irradiation.,Analysis of treatment of childhood leukaemia. V. Advantage of reduced chemotherapy during and immediately after cranial irradiation.,not funny,0
2019,Design of a Sinusoidally Wound 2-D Rotational Core Loss Setup With the Consideration of Sensor Sizing,Design of a Sinusoidally Wound 2-D Rotational Core Loss Setup With the Consideration of Sensor Sizing,not funny,0
3217,Threshold control of arm posture and movement adaptation to load,Threshold control of arm posture and movement adaptation to load,not funny,0
292,Go eagles [SEP] CreepyParty Novelty Halloween Costume Super Bowl Underdog Party Latex Dog Head Mask (German Shepherd),Go eagles </s> CreepyParty Novelty Halloween Costume Super Bowl Underdog Party Latex Dog Head Mask (German Shepherd),funny,1
527,Differences in acoustic features of vocalizations produced by killer whales cross-socialized with bottlenose dolphins.,Differences in acoustic features of vocalizations produced by killer whales cross-socialized with bottlenose dolphins.,funny,1
1652,Zombies?  Effective enough? [SEP] Medieval Crusader Sword with Scabbard - Choose your style,Zombies?  Effective enough? </s> Medieval Crusader Sword with Scabbard - Choose your style,funny,1
1046,Self-fertilization in human: having a male embryo without a father.,Self-fertilization in human: having a male embryo without a father.,funny,1
5933,I accedentally threw it of niagra falls what is the size of the sun? [SEP] Xbox One S 500GB Console - Battlefield 1 Bundle [Discontinued],I accedentally threw it of niagra falls what is the size of the sun? </s> Xbox One S 500GB Console - Battlefield 1 Bundle [Discontinued],funny,1
2344,Variation in guideline-concordant care for elderly patients with metastatic breast cancer in the United States,Variation in guideline-concordant care for elderly patients with metastatic breast cancer in the United States,not funny,0
7686,Is there anything in the bag that will be worth millions? [SEP] Vx Investments Ultimate Coin Bag. 3x 1 Gram Silver Bars 10 Coins from Around the World 25 Wheat Pennies 1 Ounce 999 Copper Bar  and 4x 1/4 Ounce Copper Coins,Is there anything in the bag that will be worth millions? </s> Vx Investments Ultimate Coin Bag. 3x 1 Gram Silver Bars 10 Coins from Around the World 25 Wheat Pennies 1 Ounce 999 Copper Bar  and 4x 1/4 Ounce Copper Coins,funny,1
1617,Can it be transferred to narnia with ease? My brothers uncle sisters cousins moms brother uncle dan needs this to fix his Honda. [SEP] Wenger 16999 Swiss Army Knife Giant,Can it be transferred to narnia with ease? My brothers uncle sisters cousins moms brother uncle dan needs this to fix his Honda. </s> Wenger 16999 Swiss Army Knife Giant,funny,1
1647,A Sparse Robust Model for a Linz-Donawitz Steel Converter,A Sparse Robust Model for a Linz-Donawitz Steel Converter,funny,1
8248,Do you get the girl in the video too ? [SEP] Panlelo Universal 7 Inch Double Din Touch Screen Head Unit Android 5.1 GPS Navigation Car Stereo Bluetooth AM/FM Auto Radio Audio Vehicle Steering Wheel Control,Do you get the girl in the video too ? </s> Panlelo Universal 7 Inch Double Din Touch Screen Head Unit Android 5.1 GPS Navigation Car Stereo Bluetooth AM/FM Auto Radio Audio Vehicle Steering Wheel Control,funny,1
433,I'm a lesbian. I'm assuming this comes with free conversion therapy? [SEP] Trump Make America Great Again Red Cap Collectible Ornament,I'm a lesbian. I'm assuming this comes with free conversion therapy? </s> Trump Make America Great Again Red Cap Collectible Ornament,funny,1
1132,Interruptions in Political Interviews: A Study of Margaret Thatcher and Neil Kinnock,Interruptions in Political Interviews: A Study of Margaret Thatcher and Neil Kinnock,funny,1
920,No no no and Other Types of Multiple Sayings in Social Interaction.,No no no and Other Types of Multiple Sayings in Social Interaction.,funny,1
2334,The Setback of Renal Denervation Should Not Backfire on Sympathetic Overactivity in Hypertension,The Setback of Renal Denervation Should Not Backfire on Sympathetic Overactivity in Hypertension,not funny,0
3218,"A rapid fMRI task battery for mapping of visual, motor, cognitive, and emotional function","A rapid fMRI task battery for mapping of visual, motor, cognitive, and emotional function",not funny,0
173,Injuries Due to Falling Coconuts,Injuries Due to Falling Coconuts,funny,1
17875,Are they able to record or just take a picture? [SEP] Recon Jet Smart Eyewear for Sports and Fitness - Black,Are they able to record or just take a picture? </s> Recon Jet Smart Eyewear for Sports and Fitness - Black,not funny,0
15100,What is the weight this product? [SEP] Men's Rogaine 5% Minoxidil Foam for Hair Loss and Hair Regrowth Topical Treatment for Thinning Hair 3-Month Supply,What is the weight this product? </s> Men's Rogaine 5% Minoxidil Foam for Hair Loss and Hair Regrowth Topical Treatment for Thinning Hair 3-Month Supply,not funny,0
15495,I am 300lbs will it hold me i see its raided for 265 [SEP] ANCHEER App Control Electric Treadmill,I am 300lbs will it hold me i see its raided for 265 </s> ANCHEER App Control Electric Treadmill,not funny,0
10813,If it gets dull can I have it sharpened or do I have to spend money on a new one? [SEP] Hutzler 571 Banana Slicer,If it gets dull can I have it sharpened or do I have to spend money on a new one? </s> Hutzler 571 Banana Slicer,not funny,0
11106,Is there room on the inner ear to machine embroider a childs first name.   Also the inner ear would have to be all material with no plastic in it. [SEP] Gund Peter Rabbit Stuffed Animal 11.5 inches,Is there room on the inner ear to machine embroider a childs first name.   Also the inner ear would have to be all material with no plastic in it. </s> Gund Peter Rabbit Stuffed Animal 11.5 inches,not funny,0
4080,Can I buy a bunch of these and build a chocolate house? [SEP] HERSHEY'S 5 Pound Holiday Chocolate Candy Bar Gift,Can I buy a bunch of these and build a chocolate house? </s> HERSHEY'S 5 Pound Holiday Chocolate Candy Bar Gift,funny,1
824,Major League Baseball Players' Life Expectancies,Major League Baseball Players' Life Expectancies,funny,1
10323,is this set good for a 4 year old to play with. [SEP] LEGO Friends Heartlake Pizzeria 41311 Toy for 6-12-Year-Olds,is this set good for a 4 year old to play with. </s> LEGO Friends Heartlake Pizzeria 41311 Toy for 6-12-Year-Olds,not funny,0
8906,How to solve a crime : Some one eating peanut butter and jelly sandwich wrapped in aluminum in the science lab? [SEP] Genius Art 3D Painting Puzzle - DIY Painting Toys,How to solve a crime : Some one eating peanut butter and jelly sandwich wrapped in aluminum in the science lab? </s> Genius Art 3D Painting Puzzle - DIY Painting Toys,funny,1
200,Penises of the Animal Kingdom,Penises of the Animal Kingdom,funny,1
1821,The significance of below-ground fractions when considering N and C partitioning within chickpea (Cicer arietinum L.),The significance of below-ground fractions when considering N and C partitioning within chickpea (Cicer arietinum L.),not funny,0
3305,Lateralised repetition priming for featurally and configurally manipulated familiar faces: evidence for differentially lateralised processing mechanisms.,Lateralised repetition priming for featurally and configurally manipulated familiar faces: evidence for differentially lateralised processing mechanisms.,not funny,0
92,The Pitch Drop Experiment,The Pitch Drop Experiment,funny,1
12422,Has anyone actually bought this??? This is insane. [SEP] Patek Philippe Grand Complication Men's Platinium - 5496P-001,Has anyone actually bought this??? This is insane. </s> Patek Philippe Grand Complication Men's Platinium - 5496P-001,not funny,0
165,Selection of Biting Sites on Man by Two Malaria Mosquito Species,Selection of Biting Sites on Man by Two Malaria Mosquito Species,funny,1
4430,Would we get a superstar free if we pre ord it [SEP] WWE 2K17 - PlayStation 4,Would we get a superstar free if we pre ord it </s> WWE 2K17 - PlayStation 4,funny,1
924,Memorising Milton's Paradise lost: a study of a septuagenarian exceptional memoriser.,Memorising Milton's Paradise lost: a study of a septuagenarian exceptional memoriser.,funny,1
