dataset,param_metric,top,learning_rate,per_device_train_batch_size,per_device_eval_batch_size,max_steps,lora_rank,lora_alpha,median_accuracy,model_name,comb
PAIR_headlines_yelp_reviews,best_median,3,5e-05,2,2,200,32,8,0.6498,Mistral-7B-v0.1-yelp_reviews-2025-01-13,Mistral-7B-v0.1-PAIR_headlines_yelp_reviews-COMB-yelp_reviews-comb-1-seed-28-2025-02-05
PAIR_one_liners_amazon,best_median,1,0.0003,2,2,150,32,8,0.6855,Mistral-7B-v0.1-amazon-2025-01-06,Mistral-7B-v0.1-PAIR_one_liners_amazon-COMB-amazon-comb-2-seed-18-2025-02-06
PAIR_one_liners_amazon,best_median,2,0.0003,2,2,200,32,8,0.6855,Mistral-7B-v0.1-amazon-2025-01-07,Mistral-7B-v0.1-PAIR_one_liners_amazon-COMB-amazon-comb-3-seed-28-2025-02-07
PAIR_one_liners_amazon,best_median,3,0.0003,2,2,200,64,8,0.6847,Mistral-7B-v0.1-one_liners-2025-01-10,Mistral-7B-v0.1-PAIR_one_liners_amazon-COMB-one_liners-comb-1-seed-28-2025-02-06
PAIR_one_liners_yelp_reviews,best_median,1,0.0003,2,2,150,32,32,0.6546,Mistral-7B-v0.1-one_liners-2024-12-27,Mistral-7B-v0.1-PAIR_one_liners_yelp_reviews-COMB-one_liners-comb-3-seed-28-2025-02-05
PAIR_one_liners_yelp_reviews,best_median,2,5e-05,2,2,200,32,8,0.6474,Mistral-7B-v0.1-yelp_reviews-2025-01-13,Mistral-7B-v0.1-PAIR_one_liners_yelp_reviews-COMB-yelp_reviews-comb-1-seed-42-2025-02-05
PAIR_one_liners_yelp_reviews,best_median,3,0.0003,2,2,200,64,8,0.6467,Mistral-7B-v0.1-one_liners-2025-01-10,Mistral-7B-v0.1-PAIR_one_liners_yelp_reviews-COMB-one_liners-comb-1-seed-42-2025-02-05
PAIR_yelp_reviews_amazon,best_median,1,6e-05,2,2,150,64,16,0.6678,Mistral-7B-v0.1-yelp_reviews-2025-01-24,Mistral-7B-v0.1-PAIR_yelp_reviews_amazon-COMB-yelp_reviews-comb-3-seed-28-2025-02-05
PAIR_yelp_reviews_amazon,best_median,2,5e-05,2,2,200,32,8,0.6509,Mistral-7B-v0.1-yelp_reviews-2025-01-13,Mistral-7B-v0.1-PAIR_yelp_reviews_amazon-COMB-yelp_reviews-comb-1-seed-42-2025-02-05
PAIR_yelp_reviews_amazon,best_median,3,5e-05,2,2,150,32,8,0.6007,Mistral-7B-v0.1-yelp_reviews-2025-01-13,Mistral-7B-v0.1-PAIR_yelp_reviews_amazon-COMB-yelp_reviews-comb-2-seed-28-2025-02-05
PAIR_yelp_reviews_dadjokes,best_median,1,5e-05,2,2,200,32,8,0.6605,Mistral-7B-v0.1-yelp_reviews-2025-01-13,Mistral-7B-v0.1-PAIR_yelp_reviews_dadjokes-COMB-yelp_reviews-comb-1-seed-28-2025-02-11
PAIR_yelp_reviews_dadjokes,best_median,2,6e-05,2,2,150,64,16,0.6566,Mistral-7B-v0.1-yelp_reviews-2025-01-24,Mistral-7B-v0.1-PAIR_yelp_reviews_dadjokes-COMB-yelp_reviews-comb-3-seed-28-2025-02-11
PAIR_yelp_reviews_dadjokes,best_median,3,6e-05,2,2,150,32,16,0.6533,Mistral-7B-v0.1-dadjokes-2024-12-30,Mistral-7B-v0.1-PAIR_yelp_reviews_dadjokes-COMB-dadjokes-comb-1-seed-18-2025-02-11
